model,seed,vessel,ss,heading_deg,speed_kn,dof,horizon_samples,horizon_s,n_realizations,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,sse,sae,sse_persistence,sy,syy,regime
ar20,0,frigate,SS3,90.0,0.0,heave,10,1.0,40,45240,0.004351761185379764,0.0034894483543657403,0.09096998913582824,0.9977115900740807,0.12064419993964384,0.03607103522222264,0.8567472217555034,157.8626435515061,374.38538089338124,4.256433905534095,658.4696400426985,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,heave,20,2.0,40,45240,0.022923956094894195,0.018377525345753806,0.167834785560668,0.9813441440386559,0.12066463643399775,0.1899807331490478,23.77397119995841,831.3992466419022,1274.3436296474006,2.5094148984596814,658.6924801298657,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,heave,30,3.0,40,45240,0.060330769076199255,0.04836425136690184,0.21897844948512582,0.9240941984849991,0.12067566887409086,0.4999414516537419,164.66462878701378,2187.9987318386393,2169.3286349722794,-0.7956102159853344,658.8128097053307,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,heave,50,5.0,40,45240,0.13670153127262621,0.10960712424247894,0.22172738843314924,0.6198910678443986,0.12072127318822491,1.1323731738604625,845.4138434291837,4958.6263007297475,2224.135693509841,-5.260812364552521,659.3114429631644,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,heave,100,10.0,40,45240,0.1952506101731777,0.15615461569568048,0.16173153008611488,-0.45745585401235966,0.12087856103018234,1.6152625288484805,1724.675506970439,7064.434814072585,1183.3466531575737,3.4875848339531785,661.0302524772297,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,heave,150,15.0,40,45240,0.2080204814257344,0.1661792057445958,0.1504894255862892,-0.9107339720879277,0.12097141013520529,1.719583835496648,1957.6488361329666,7517.9472678855145,1024.5533207292972,-1.9386512101239077,662.0459559275535,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,pitch,10,1.0,40,45240,0.009460007198044528,0.007559313276271037,0.026967874385803732,0.8769477666207827,0.03276490656232344,0.2887237654729846,4.048606145102337,341.9833326185017,32.90152509971524,0.8475219002115182,48.56692485358491,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,pitch,20,2.0,40,45240,0.05771142369190071,0.04612694204724974,0.048938666960076885,-0.39065469182676194,0.03276549157993074,1.7613477139848452,150.6767251264646,2086.7828582175785,108.34948892203849,0.4756187828728571,48.568648316879305,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,pitch,30,3.0,40,45240,0.1466478679692974,0.11725846390800874,0.061970178414377096,-4.599974040789576,0.03277249651945028,4.474723733123681,972.9132164205075,5304.772907198316,173.73530829498816,-0.3429072330351346,48.58941513117642,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,pitch,50,5.0,40,45240,0.20422030513778663,0.1632341575610513,0.055386347378423836,-12.595412562200018,0.03277843502505622,6.230325059194505,1886.7764103030174,7384.713288061961,138.7803718107763,-1.1352676907650903,48.607051802565636,unseen_heading
