control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,asserted,passed
shuffle,unseen_seastate,shuffled,window_mean,pitch,50,5.0,0.6963080566434667,0.6952712209283369,0.0034024870190746404,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch,100,10.0,0.3096990104655284,0.30815081565911107,0.002237763433792672,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch,150,15.0,0.5108777019489656,0.510898012148296,-4.1525489232974166e-05,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave,10,1.0,-2.698080861733559,-2.720246036516437,0.00595798626362698,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave,20,2.0,-0.07573584370353492,-0.08301841259252751,0.006724326017283122,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave,30,3.0,0.43178780021280705,0.4297969449014116,0.003491484820352664,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave,50,5.0,0.6909141925509392,0.6909915525766708,-0.00025034922629663114,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave,100,10.0,0.2856916509034405,0.2867089129907052,-0.001426152808848169,0.02,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave,150,15.0,0.4529908200551066,0.45414789330962113,-0.002119755956480729,0.02,True,True
untrained,unseen_seastate,untrained,persistence,roll,10,1.0,-3.8287650156447857,0.0,-3.8287650156447857,0.0,True,True
untrained,unseen_seastate,untrained,persistence,roll,20,2.0,-0.3972384275988632,0.0,-0.3972384275988632,0.0,True,True
untrained,unseen_seastate,untrained,persistence,roll,30,3.0,0.44004026781452066,0.0,0.44004026781452066,0.0,True,False
untrained,unseen_seastate,untrained,persistence,roll,50,5.0,0.6939985438776773,0.0,0.6939985438776773,0.0,True,False
untrained,unseen_seastate,untrained,persistence,roll,100,10.0,-0.02211165396414594,0.0,-0.02211165396414594,0.0,True,True
untrained,unseen_seastate,untrained,persistence,roll,150,15.0,0.2583556800361174,0.0,0.2583556800361174,0.0,True,False
untrained,unseen_seastate,untrained,persistence,pitch,10,1.0,-2.0886030404626084,0.0,-2.0886030404626084,0.0,True,True
untrained,unseen_seastate,untrained,persistence,pitch,20,2.0,0.13143909378380103,0.0,0.13143909378380103,0.0,True,False
untrained,unseen_seastate,untrained,persistence,pitch,30,3.0,0.46483127270890034,0.0,0.46483127270890034,0.0,True,False
untrained,unseen_seastate,untrained,persistence,pitch,50,5.0,0.6543041208804015,0.0,0.6543041208804015,0.0,True,False
untrained,unseen_seastate,untrained,persistence,pitch,100,10.0,-0.09660853025026794,0.0,-0.09660853025026794,0.0,True,True
untrained,unseen_seastate,untrained,persistence,pitch,150,15.0,0.41814689263641913,0.0,0.41814689263641913,0.0,True,False
untrained,unseen_seastate,untrained,persistence,heave,10,1.0,-2.948594168385842,0.0,-2.948594168385842,0.0,True,True
untrained,unseen_seastate,untrained,persistence,heave,20,2.0,-0.20307978967335427,0.0,-0.20307978967335427,0.0,True,True
untrained,unseen_seastate,untrained,persistence,heave,30,3.0,0.4268206146678506,0.0,0.4268206146678506,0.0,True,False
untrained,unseen_seastate,untrained,persistence,heave,50,5.0,0.6003688944481153,0.0,0.6003688944481153,0.0,True,False
untrained,unseen_seastate,untrained,persistence,heave,100,10.0,0.16311514960891893,0.0,0.16311514960891893,0.0,True,False
untrained,unseen_seastate,untrained,persistence,heave,150,15.0,0.25904043031780055,0.0,0.25904043031780055,0.0,True,False
