control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,asserted,enforced,passed
untrained,id,untrained,persistence,pitch,10,1.0,-1.4930281820916007,0.0,-1.4930281820916007,0.0,True,False,True
untrained,id,untrained,persistence,pitch,20,2.0,-0.0866491606852271,0.0,-0.0866491606852271,0.0,True,False,True
untrained,id,untrained,persistence,pitch,30,3.0,0.5968258487369782,0.0,0.5968258487369782,0.0,True,False,False
untrained,id,untrained,persistence,pitch,50,5.0,0.6015449441148208,0.0,0.6015449441148208,0.0,True,False,False
untrained,id,untrained,persistence,pitch,100,10.0,0.32421307624052054,0.0,0.32421307624052054,0.0,True,False,False
untrained,id,untrained,persistence,pitch,150,15.0,0.4623107048069931,0.0,0.4623107048069931,0.0,True,False,False
untrained,id,untrained,persistence,heave,10,1.0,-1.5044495193266187,0.0,-1.5044495193266187,0.0,True,False,True
untrained,id,untrained,persistence,heave,20,2.0,-0.08430900851053624,0.0,-0.08430900851053624,0.0,True,False,True
untrained,id,untrained,persistence,heave,30,3.0,0.5338355598760804,0.0,0.5338355598760804,0.0,True,False,False
untrained,id,untrained,persistence,heave,50,5.0,0.7061888023464553,0.0,0.7061888023464553,0.0,True,False,False
untrained,id,untrained,persistence,heave,100,10.0,0.08604848490414929,0.0,0.08604848490414929,0.0,True,False,False
untrained,id,untrained,persistence,heave,150,15.0,0.40687410424366754,0.0,0.40687410424366754,0.0,True,False,False
untrained,id,untrained,persistence,roll_rate,10,1.0,-2.5604695107897366,0.0,-2.5604695107897366,0.0,True,False,True
untrained,id,untrained,persistence,roll_rate,20,2.0,-0.1159067506304563,0.0,-0.1159067506304563,0.0,True,False,True
untrained,id,untrained,persistence,roll_rate,30,3.0,0.06129424022532548,0.0,0.06129424022532548,0.0,True,False,False
untrained,id,untrained,persistence,roll_rate,50,5.0,0.6474395182177926,0.0,0.6474395182177926,0.0,True,False,False
untrained,id,untrained,persistence,roll_rate,100,10.0,-0.5629969622210973,0.0,-0.5629969622210973,0.0,True,False,True
untrained,id,untrained,persistence,roll_rate,150,15.0,0.41647451212036524,0.0,0.41647451212036524,0.0,True,False,False
untrained,id,untrained,persistence,pitch_rate,10,1.0,-0.217082364980129,0.0,-0.217082364980129,0.0,True,False,True
untrained,id,untrained,persistence,pitch_rate,20,2.0,0.3648720320752883,0.0,0.3648720320752883,0.0,True,False,False
untrained,id,untrained,persistence,pitch_rate,30,3.0,0.6318847958936686,0.0,0.6318847958936686,0.0,True,False,False
untrained,id,untrained,persistence,pitch_rate,50,5.0,0.34999195232193425,0.0,0.34999195232193425,0.0,True,False,False
untrained,id,untrained,persistence,pitch_rate,100,10.0,0.31757132235181573,0.0,0.31757132235181573,0.0,True,False,False
