experiment,arm,control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,asserted,enforced,passed
e02_deep,reference,untrained,id,untrained,persistence,pitch,20,2.0,0.3030320887276553,0.0,0.3030320887276553,0.0,True,False,False
e02_deep,reference,untrained,id,untrained,persistence,pitch,30,3.0,0.3014759554418394,0.0,0.3014759554418394,0.0,True,False,False
e02_deep,reference,untrained,id,untrained,persistence,pitch,50,5.0,0.6927815851598688,0.0,0.6927815851598688,0.0,True,False,False
e02_deep,reference,untrained,id,untrained,persistence,pitch,100,10.0,0.2055129233369955,0.0,0.2055129233369955,0.0,True,False,False
e02_deep,reference,untrained,id,untrained,persistence,pitch,150,15.0,0.4258933562468575,0.0,0.4258933562468575,0.0,True,False,False
e02_deep,reference,untrained,id,untrained,persistence,heave,10,1.0,-2.2449398110057786,0.0,-2.2449398110057786,0.0,True,False,True
e02_deep,reference,untrained,id,untrained,persistence,heave,20,2.0,0.002686867364723,0.0,0.002686867364723,0.0,True,False,False
e02_deep,reference,untrained,id,untrained,persistence,heave,30,3.0,-0.1911248710345221,0.0,-0.1911248710345221,0.0,True,False,True
e02_deep,reference,untrained,id,untrained,persistence,heave,50,5.0,0.6796531282314552,0.0,0.6796531282314552,0.0,True,False,False
e02_deep,reference,untrained,id,untrained,persistence,heave,100,10.0,-0.0370160938033166,0.0,-0.0370160938033166,0.0,True,False,True
e02_deep,reference,untrained,id,untrained,persistence,heave,150,15.0,0.4699028833832105,0.0,0.4699028833832105,0.0,True,False,False
e02_deep,reference,untrained,id,untrained,persistence,roll_rate,10,1.0,-3.566517421913905,0.0,-3.566517421913905,0.0,True,False,True
e02_deep,reference,untrained,id,untrained,persistence,roll_rate,20,2.0,-0.1368555081909055,0.0,-0.1368555081909055,0.0,True,False,True
e02_deep,reference,untrained,id,untrained,persistence,roll_rate,30,3.0,-0.8420001554054082,0.0,-0.8420001554054082,0.0,True,False,True
e02_deep,reference,untrained,id,untrained,persistence,roll_rate,50,5.0,0.6633266323304643,0.0,0.6633266323304643,0.0,True,False,False
e02_deep,reference,untrained,id,untrained,persistence,roll_rate,100,10.0,-0.2171768868674319,0.0,-0.2171768868674319,0.0,True,False,True
e02_deep,reference,untrained,id,untrained,persistence,roll_rate,150,15.0,0.6086862503948354,0.0,0.6086862503948354,0.0,True,False,False
e02_deep,reference,untrained,id,untrained,persistence,pitch_rate,10,1.0,-0.4703032203718433,0.0,-0.4703032203718433,0.0,True,False,True
e02_deep,reference,untrained,id,untrained,persistence,pitch_rate,20,2.0,0.4263247641547375,0.0,0.4263247641547375,0.0,True,False,False
e02_deep,reference,untrained,id,untrained,persistence,pitch_rate,30,3.0,0.4630028783635371,0.0,0.4630028783635371,0.0,True,False,False
e02_deep,reference,untrained,id,untrained,persistence,pitch_rate,50,5.0,0.6634033473931464,0.0,0.6634033473931464,0.0,True,False,False
e02_deep,reference,untrained,id,untrained,persistence,pitch_rate,100,10.0,0.3550637115010512,0.0,0.3550637115010512,0.0,True,False,False
e02_deep,reference,untrained,id,untrained,persistence,pitch_rate,150,15.0,0.3809315600685444,0.0,0.3809315600685444,0.0,True,False,False
e02_deep,reference,untrained,id,untrained,persistence,heave_rate,10,1.0,-1.6357802988626449,0.0,-1.6357802988626449,0.0,True,False,True
e02_deep,reference,untrained,id,untrained,persistence,heave_rate,20,2.0,0.0790233617662639,0.0,0.0790233617662639,0.0,True,False,False
e02_deep,reference,untrained,id,untrained,persistence,heave_rate,30,3.0,0.0936150511864113,0.0,0.0936150511864113,0.0,True,False,False
e02_deep,reference,untrained,id,untrained,persistence,heave_rate,50,5.0,0.7031624238109013,0.0,0.7031624238109013,0.0,True,False,False
e02_deep,reference,untrained,id,untrained,persistence,heave_rate,100,10.0,-0.1729410479243167,0.0,-0.1729410479243167,0.0,True,False,True
e02_deep,reference,untrained,id,untrained,persistence,heave_rate,150,15.0,0.5121397462559312,0.0,0.5121397462559312,0.0,True,False,False
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,roll,10,1.0,-3.661780118500381,-3.63615857215768,-0.0055264603106051,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,roll,20,2.0,-0.309877825645471,-0.304777021787743,-0.003909329925767,0.02,True,True,True
e02_deep,reference,shuffle,unseen_seastate,shuffled,window_mean,roll,30,3.0,0.3526161116809887,0.3527240953526349,-0.0001668278872593,0.02,True,True,True
