control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,passed,shuffle_seed
shuffle,unseen_heading,shuffled,window_mean,pitch,30,3.0,0.6063309811082505,0.5760981420139681,0.07132037410243797,0.02,False,101
shuffle,unseen_heading,shuffled,window_mean,pitch,50,5.0,0.7090732571908165,0.7189674736669598,-0.035206659546653585,0.02,True,101
shuffle,unseen_heading,shuffled,window_mean,pitch,100,10.0,0.23319211797212058,0.19278467877459515,0.0500578199335765,0.02,False,101
shuffle,unseen_heading,shuffled,window_mean,pitch,150,15.0,0.5384778311641392,0.5312846613004749,0.015346563830452076,0.02,True,101
shuffle,unseen_heading,shuffled,window_mean,heave,10,1.0,-3.059627612161364,-3.0652928912021986,0.0013935721711699767,0.02,True,101
shuffle,unseen_heading,shuffled,window_mean,heave,20,2.0,-0.13270784155491122,-0.1403035492883149,0.006661127853319626,0.02,True,101
shuffle,unseen_heading,shuffled,window_mean,heave,30,3.0,0.43122403524761244,0.42632554948464185,0.008538790177199052,0.02,True,101
shuffle,unseen_heading,shuffled,window_mean,heave,50,5.0,0.720491170366973,0.7203563272721978,0.0004821961228725913,0.02,True,101
shuffle,unseen_heading,shuffled,window_mean,heave,100,10.0,0.143651360908835,0.14006464938934549,0.004170908332751466,0.02,True,101
shuffle,unseen_heading,shuffled,window_mean,heave,150,15.0,0.44936640516852444,0.44722680087015176,0.0038706730024913316,0.02,True,101
shuffle,unseen_heading,shuffled,window_mean,roll_rate,10,1.0,-3.4627000150613423,-3.473722523197466,0.0024638336595461663,0.02,True,101
shuffle,unseen_heading,shuffled,window_mean,roll_rate,20,2.0,-0.19822011706740805,-0.1981672727205852,-4.410431500345702e-05,0.02,True,101
shuffle,unseen_heading,shuffled,window_mean,roll_rate,30,3.0,0.430377130339169,0.43200401510524067,-0.0028642539900578523,0.02,True,101
shuffle,unseen_heading,shuffled,window_mean,roll_rate,50,5.0,0.7560320665326425,0.7564240162457807,-0.0016091476142150452,0.02,True,101
shuffle,unseen_heading,shuffled,window_mean,roll_rate,100,10.0,-0.07805072539692448,-0.0755047164486311,-0.0023672689755378507,0.02,True,101
shuffle,unseen_heading,shuffled,window_mean,roll_rate,150,15.0,0.4651802951472208,0.46506100854835863,0.00022299103405876153,0.02,True,101
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,10,1.0,-1.021557093469549,-1.042437315258514,0.010223188556620189,0.02,True,101
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,20,2.0,0.32034566216003857,0.3363170243193009,-0.024064745886967387,0.02,True,101
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,30,3.0,0.5885184375012924,0.6106437860044811,-0.056825466521110535,0.02,True,101
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,50,5.0,0.7298442088957753,0.7076718592244347,0.07584746926011288,0.02,False,101
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,100,10.0,0.33435848392705514,0.33465622576060317,-0.00044750074333888,0.02,True,101
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,150,15.0,0.5037138494298601,0.5120663439428355,-0.017118094661616956,0.02,True,101
shuffle,unseen_heading,shuffled,window_mean,heave_rate,10,1.0,-2.356871877995495,-2.3561851237497904,-0.00020462346991667602,0.02,True,101
shuffle,unseen_heading,shuffled,window_mean,heave_rate,20,2.0,0.03039644854741841,0.03387594495282398,-0.0036015006429330754,0.02,True,101
shuffle,unseen_heading,shuffled,window_mean,heave_rate,30,3.0,0.4937431543828511,0.49586385035358727,-0.0042065937390594055,0.02,True,101
shuffle,unseen_heading,shuffled,window_mean,heave_rate,50,5.0,0.7291018107367675,0.7276649948576983,0.005275913312423497,0.02,True,101
shuffle,unseen_heading,shuffled,window_mean,heave_rate,100,10.0,-0.009711470781101461,-0.01199284769492115,0.0022543409461994734,0.02,True,101
shuffle,unseen_heading,shuffled,window_mean,heave_rate,150,15.0,0.5219989981143536,0.5228773563556022,-0.0018409485547352666,0.02,True,101
shuffle,unseen_heading,shuffled,window_mean,roll,10,1.0,-3.820809081836142,-3.831827705369241,0.0022804255873724033,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,roll,20,2.0,-0.2777284744806108,-0.28211958681956584,0.0034248851543151604,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,roll,30,3.0,0.404720519184976,0.4016476833058852,0.005135495916633426,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,roll,50,5.0,0.7568134007609894,0.7556018265526472,0.004957378327555939,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,roll,100,10.0,0.0023502404094691842,-0.0013950307415515617,0.0037400536611883473,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,roll,150,15.0,0.42216769625570627,0.419541200518053,0.00452486160946719,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,pitch,10,1.0,-1.2650497758961508,-1.4023343245926627,0.0571463127721783,0.02,False,202
shuffle,unseen_heading,shuffled,window_mean,pitch,20,2.0,0.28265184207589633,0.25093167631496127,0.042346158231451825,0.02,False,202
shuffle,unseen_heading,shuffled,window_mean,pitch,30,3.0,0.58290409685234,0.5760981420139681,0.016055496597035757,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,pitch,50,5.0,0.7319198370872135,0.7189674736669598,0.046088485163117476,0.02,False,202
shuffle,unseen_heading,shuffled,window_mean,pitch,100,10.0,0.17406041170396047,0.19278467877459515,-0.02319612447668873,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,pitch,150,15.0,0.525112321288369,0.5312846613004749,-0.013168632435267336,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,heave,10,1.0,-3.035980543973616,-3.0652928912021986,0.007210390004621425,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,heave,20,2.0,-0.13323576339719168,-0.1403035492883149,0.006198161792563384,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,heave,30,3.0,0.42782595201951434,0.42632554948464185,0.002615425061242682,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,heave,50,5.0,0.7204390868464573,0.7203563272721978,0.00029594652885311934,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,heave,100,10.0,0.14058456260002428,0.14006464938934549,0.0006045956946758579,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,heave,150,15.0,0.4468697626006334,0.44722680087015176,-0.0006459037270265533,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,roll_rate,10,1.0,-3.451834639283258,-3.473722523197466,0.004892543916327763,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,roll_rate,20,2.0,-0.19294963547539057,-0.1981672727205852,0.004354681824472961,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,roll_rate,30,3.0,0.4337000347134319,0.43200401510524067,0.0029859711217948837,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,roll_rate,50,5.0,0.7571702416683417,0.7564240162457807,0.003063624791982633,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,roll_rate,100,10.0,-0.07314807270675039,-0.0755047164486311,0.0021911979611418664,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,roll_rate,150,15.0,0.46529092029930486,0.46506100854835863,0.0004297906015829911,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,10,1.0,-1.1063774615182842,-1.042437315258514,-0.03130580595159027,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,20,2.0,0.32909214150264765,0.3363170243193009,-0.010886045117012522,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,30,3.0,0.619412875597105,0.6106437860044811,0.02252202296359096,0.02,False,202
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,50,5.0,0.7082589853908245,0.7076718592244347,0.0020084490149741008,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,100,10.0,0.3468403416873759,0.33465622576060317,0.018312512115562063,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,150,15.0,0.5127230799708719,0.5120663439428355,0.0013459535325832661,0.02,True,202
shuffle,unseen_heading,shuffled,window_mean,heave_rate,10,1.0,-2.35146271280681,-2.3561851237497904,0.0014070770141856315,0.02,True,202
