experiment,model,train_seed,regime,observation_mode,threshold_set,rule,group_level,ss,heading_deg,speed_kn,scorable,base_rate,n_true_onsets,n_pred_onsets,n_matched,precision,recall,f1,f1_ci_lo,f1_ci_hi,n_boot,ci_level,bootstrap_seed,false_alarms_per_min,lead_p10,lead_p50,lead_p90,n_realizations,duration_s,n_excluded_true,n_excluded_pred
deep,ar10,0,id,ideal,permissive,point,cell,SS4,180.0,6.0,True,0.8916379310344827,183,1425,182,0.12771929824561404,0.994535519125683,0.22636815920398007,0.20381841254910865,0.2520705769427046,1000,0.95,0,16.073275862068964,0.8,1.7,4.6,8,4640.0,18,0
deep,ar10,0,id,ideal,permissive,point,cell,SS4,180.0,12.0,True,0.9504741379310345,94,2077,94,0.04525758305247954,1.0,0.08659603869184708,0.0782229379097518,0.0941998173394768,1000,0.95,0,25.642241379310345,0.6,1.4,3.2400000000000007,8,4640.0,18,0
deep,ar10,0,id,ideal,permissive,point,cell,SS5,45.0,0.0,True,0.5382758620689655,311,4230,310,0.07328605200945626,0.9967845659163987,0.1365338031270645,0.1211085463899376,0.15879330464185196,1000,0.95,0,50.689655172413794,1.2,3.2,9.9,8,4640.0,12,0
deep,ar10,0,id,ideal,permissive,point,cell,SS5,45.0,6.0,True,0.21023706896551725,192,3152,191,0.060596446700507615,0.9947916666666666,0.11423444976076555,0.10028668863237597,0.12408671531428159,1000,0.95,0,38.28879310344828,1.8,3.8,11.3,8,4640.0,11,0
deep,ar10,0,id,ideal,permissive,point,cell,SS5,45.0,12.0,True,0.15318965517241379,170,2506,166,0.06624102154828412,0.9764705882352941,0.12406576980568011,0.11333531002845136,0.13890283613445378,1000,0.95,0,30.25862068965517,1.4,2.9,8.899999999999999,8,4640.0,5,0
deep,ar10,0,id,ideal,permissive,point,cell,SS5,90.0,0.0,True,0.5293103448275862,360,4978,356,0.07151466452390519,0.9888888888888889,0.13338328962158114,0.12602884507723988,0.13969922331741538,1000,0.95,0,59.76724137931034,1.4,3.6,10.3,8,4640.0,17,0
deep,ar10,0,id,ideal,permissive,point,cell,SS5,90.0,6.0,True,0.5101293103448276,343,4716,341,0.07230703986429177,0.9941690962099126,0.13480925084008696,0.12937288592896598,0.13928691655574788,1000,0.95,0,56.57327586206897,1.3,3.2,9.9,8,4640.0,23,0
deep,ar10,0,id,ideal,permissive,point,cell,SS5,90.0,12.0,True,0.4936206896551724,359,4887,359,0.07346020053202373,1.0,0.13686618375905452,0.12662160358691094,0.1480080635165537,1000,0.95,0,58.55172413793103,1.2,3.7,10.42,8,4640.0,18,0
deep,ar10,0,id,ideal,permissive,point,cell,SS5,135.0,0.0,True,0.5796336206896552,314,3891,314,0.08069904908763814,1.0,0.14934601664684902,0.13480377110811895,0.16214893357212634,1000,0.95,0,46.25431034482759,1.1300000000000001,3.0,10.469999999999999,8,4640.0,20,0
deep,ar10,0,id,ideal,permissive,point,cell,SS5,135.0,6.0,True,0.7400646551724138,205,2529,203,0.08026888098062475,0.9902439024390244,0.1485003657644477,0.12863201112923017,0.17195754164595145,1000,0.95,0,30.07758620689655,1.0,2.6,6.660000000000003,8,4640.0,20,0
deep,ar10,0,id,ideal,permissive,point,cell,SS5,135.0,12.0,True,0.7421551724137931,183,3464,178,0.05138568129330254,0.9726775956284153,0.09761447765286538,0.08928971840440943,0.10622724302897964,1000,0.95,0,42.491379310344826,0.7699999999999999,2.1500000000000004,8.330000000000002,8,4640.0,14,0
deep,ar10,0,id,ideal,permissive,point,cell,SS5,180.0,0.0,True,0.5243103448275862,301,4452,297,0.06671159029649595,0.9867109634551495,0.12497370082053438,0.11395738481818121,0.1408257013282319,1000,0.95,0,53.72844827586207,0.8,2.5,4.7,8,4640.0,13,0
deep,ar10,0,id,ideal,permissive,point,cell,SS5,180.0,6.0,True,0.5248706896551724,278,4210,277,0.06579572446555819,0.9964028776978417,0.12344028520499106,0.11424572198720147,0.1311494679751523,1000,0.95,0,50.85775862068966,1.0,2.3,6.420000000000002,8,4640.0,12,0
deep,ar10,0,id,ideal,permissive,point,cell,SS5,180.0,12.0,True,0.6150646551724138,252,5843,244,0.041759370186548,0.9682539682539683,0.08006562756357669,0.0753057368198676,0.08478802992518704,1000,0.95,0,72.40086206896552,0.6,1.5,5.4,8,4640.0,17,0
deep,ar10,0,id,ideal,permissive,point,cell,SS6,45.0,0.0,True,0.1527155172413793,150,2480,147,0.059274193548387095,0.98,0.111787072243346,0.09943323186388947,0.1267694357192421,1000,0.95,0,30.16810344827586,1.5,4.1,11.2,8,4640.0,6,0
deep,ar10,0,id,ideal,permissive,point,cell,SS6,45.0,6.0,True,0.14747844827586207,162,2711,161,0.059387679822943566,0.9938271604938271,0.1120779672815872,0.09262967277348301,0.128729566839095,1000,0.95,0,32.974137931034484,1.2,2.9,10.8,8,4640.0,3,0
deep,ar10,0,id,ideal,permissive,point,cell,SS6,45.0,12.0,True,0.1888146551724138,186,3140,181,0.05764331210191083,0.9731182795698925,0.10883944678292241,0.09984120360466762,0.11693943552167058,1000,0.95,0,38.26293103448276,1.2,3.4,10.8,8,4640.0,6,0
deep,ar10,0,id,ideal,permissive,point,cell,SS6,90.0,0.0,True,0.10721982758620689,108,1726,107,0.06199304750869061,0.9907407407407407,0.11668484187568155,0.10094160462141137,0.128500823723229,1000,0.95,0,20.935344827586206,1.1,2.5,9.900000000000002,8,4640.0,5,0
deep,ar10,0,id,ideal,permissive,point,cell,SS6,90.0,6.0,True,0.09851293103448276,109,1707,109,0.0638547158758055,1.0,0.12004405286343611,0.10864695257568724,0.13267543859649122,1000,0.95,0,20.663793103448278,1.28,3.6,10.02,8,4640.0,5,0
deep,ar10,0,id,ideal,permissive,point,cell,SS6,90.0,12.0,True,0.08282327586206896,105,1491,103,0.06908115358819585,0.9809523809523809,0.12907268170426064,0.11419984973703982,0.14285714285714285,1000,0.95,0,17.948275862068964,1.3,3.2,11.68,8,4640.0,11,0
deep,ar10,0,id,ideal,permissive,point,cell,SS6,135.0,0.0,True,0.15831896551724137,162,2520,160,0.06349206349206349,0.9876543209876543,0.11931394481730051,0.09768421052631579,0.13926420096795836,1000,0.95,0,30.517241379310345,1.29,4.95,11.7,8,4640.0,4,0
deep,ar10,0,id,ideal,permissive,point,cell,SS6,135.0,6.0,True,0.2235344827586207,200,3189,199,0.06240200689871433,0.995,0.11743877249926234,0.10976225994083137,0.12417498553200461,1000,0.95,0,38.66379310344828,1.1800000000000002,4.3,11.4,8,4640.0,11,0
deep,ar10,0,id,ideal,permissive,point,cell,SS6,135.0,12.0,True,0.32767241379310347,257,5390,256,0.047495361781076065,0.9961089494163424,0.09066761112094918,0.08371025614163742,0.09638976671784973,1000,0.95,0,66.38793103448276,0.9,3.0,10.9,8,4640.0,13,0
deep,ar10,0,id,ideal,permissive,point,cell,SS6,180.0,0.0,True,0.32926724137931035,216,6055,213,0.035177539223782,0.9861111111111112,0.06793174932227715,0.06318026584307664,0.07284873548592333,1000,0.95,0,75.54310344827586,0.8,2.2,8.08,8,4640.0,8,0
deep,ar10,0,id,ideal,permissive,point,cell,SS6,180.0,6.0,True,0.37116379310344827,216,5461,210,0.03845449551364219,0.9722222222222222,0.07398273736128237,0.06672341615607351,0.08284842260289899,1000,0.95,0,67.90086206896552,0.7,1.9,8.219999999999999,8,4640.0,7,0
deep,ar10,0,id,ideal,permissive,point,cell,SS6,180.0,12.0,True,0.3485560344827586,188,6384,187,0.029291979949874685,0.9946808510638298,0.05690809494826537,0.0514001843372512,0.0622499423796671,1000,0.95,0,80.13362068965517,0.46000000000000013,1.7,8.08,8,4640.0,13,0
deep,ar10,0,id,ideal,permissive,point,sea_state,SS3,,,True,0.9770294540229885,419,3207,416,0.1297162457125039,0.9928400954653938,0.22945394373965802,0.21764541431625894,0.24416371876371204,1000,0.95,0,3.007543103448276,2.1,4.1,6.8,96,55680.0,121,0
deep,ar10,0,id,ideal,permissive,point,sea_state,SS4,,,True,0.8861099137931034,1732,17331,1716,0.09901332871732733,0.9907621247113164,0.18003462204270052,0.1674867644071286,0.19339500011101854,1000,0.95,0,16.826508620689655,1.0,2.6,7.8,96,55680.0,224,0
deep,ar10,0,id,ideal,permissive,point,sea_state,SS5,,,True,0.5134051724137931,3268,48858,3236,0.0662327561504769,0.9902080783353733,0.12416068756474696,0.11861088797325417,0.12961854927065047,1000,0.95,0,49.161637931034484,1.0,2.9,9.25,96,55680.0,182,0
deep,ar10,0,id,ideal,permissive,point,sea_state,SS6,,,True,0.21133979885057472,2059,42254,2033,0.048113788043735506,0.9873725109276348,0.0917563694626859,0.08598832808940428,0.09813708775273924,1000,0.95,0,43.341594827586206,0.9,2.9,10.5,96,55680.0,92,0
deep,ar10,0,id,ideal,strict,point,cell,SS3,45.0,0.0,True,0.9192887931034482,47,637,46,0.07221350078492936,0.9787234042553191,0.1345029239766082,0.09392265193370165,0.18065894678797903,1000,0.95,0,7.642241379310345,0.6499999999999999,1.15,3.3,8,4640.0,17,0
deep,ar10,0,id,ideal,strict,point,cell,SS3,45.0,6.0,True,0.9084913793103448,95,825,93,0.11272727272727273,0.9789473684210527,0.2021739130434783,0.1576369168356998,0.2402347665959256,1000,0.95,0,9.46551724137931,0.7,2.2,3.439999999999999,8,4640.0,12,0
deep,ar10,0,id,ideal,strict,point,cell,SS3,45.0,12.0,True,0.15366379310344827,76,1498,76,0.050734312416555405,1.0,0.096569250317662,0.08073468649991387,0.11374058426828638,1000,0.95,0,18.387931034482758,1.2999999999999998,5.25,10.9,8,4640.0,6,0
deep,ar10,0,id,ideal,strict,point,cell,SS3,90.0,0.0,True,0.9997629310344828,1,332,1,0.0030120481927710845,1.0,0.006006006006006006,0.0,0.02112862688498482,1000,0.95,0,4.280172413793103,2.3,2.3,2.3,8,4640.0,9,0
deep,ar10,0,id,ideal,strict,point,cell,SS3,90.0,6.0,True,0.999375,2,231,2,0.008658008658008658,1.0,0.017167381974248927,0.0,0.03498542274052478,1000,0.95,0,2.961206896551724,1.0,1.4,1.8,8,4640.0,9,0
deep,ar10,0,id,ideal,strict,point,cell,SS3,90.0,12.0,False,1.0,0,159,0,,,,,,1000,0.95,0,2.0560344827586206,,,,8,4640.0,8,0
