model,head,regime,dof,horizon_samples,horizon_s,n_seeds,deterministic,n_windows,n_quantiles,alpha,picp_mean,picp_std,picp_ci_lo,picp_ci_hi,mean_interval_width_mean,mean_interval_width_std,width_ratio_mean,width_ratio_std,signal_std,winkler_mean,winkler_std,crps_mean,crps_std,pinball_mean,pinball_std,crossing_rate_mean,crossing_rate_std,n_params,val_loss_name,fit_time_s_mean
residual_interval,quantile,id,heave,10,1.0,1,True,434304,9,0.1,0.8970628868258178,,0.8810473193891836,0.91359543085028,0.0119993543551363,,0.00480449264764429,,0.7591945699315659,0.0215469561440018,,0.001985593516072,,0.000992796758036,,0.0,,68400,,3.3968471989792306
residual_interval,quantile,id,heave,20,2.0,1,True,434304,9,0.1,0.8977052939876216,,0.8814877942639258,0.914109817086649,0.1180361770218483,,0.04725866537964732,,0.7592353662201028,0.2122549391796322,,0.0194668605061988,,0.0097334302530994,,0.0,,68400,,3.3968471989792306
residual_interval,quantile,id,heave,30,3.0,1,True,434304,9,0.1,0.8979493626584144,,0.8816291123268494,0.9142724335949012,0.4167052404796384,,0.1668375441733728,,0.7592379733777742,0.7550149264467537,,0.0686813262241133,,0.0343406631120566,,0.0,,68400,,3.3968471989792306
residual_interval,quantile,id,heave,50,5.0,1,True,434304,9,0.1,0.8976822686413204,,0.880953088159446,0.914790158506484,0.864699223469395,,0.34616953030732506,,0.7593097520603712,1.6096242154646176,,0.1431726306195941,,0.071586315309797,,0.0,,68400,,3.3968471989792306
residual_interval,quantile,id,heave,100,10.0,1,True,434304,9,0.1,0.8976638483642794,,0.8826065382773357,0.9126627316349838,1.7668514583713704,,0.7074979934352857,,0.7591324816869609,2.9052602839435315,,0.2831212965283512,,0.1415606482641756,,0.0,,68400,,3.3968471989792306
residual_interval,quantile,id,heave,150,15.0,1,True,434304,9,0.1,0.8993308834364869,,0.8856530218464487,0.9134830095969644,2.404537098634504,,0.9633935093602107,,0.758700750262978,3.683519738599297,,0.3712282414635027,,0.1856141207317513,,0.0,,68400,,3.3968471989792306
residual_interval,quantile,id,heave_rate,10,1.0,1,True,434304,9,0.1,0.9006156977600943,,0.8877423993331859,0.913809393880784,0.0073299771343511,,0.004956298626301007,,0.4495602477358838,0.0110879394361845,,0.0011591323065455,,0.0005795661532727,,0.0,,68400,,3.3968471989792306
residual_interval,quantile,id,heave_rate,20,2.0,1,True,434304,9,0.1,0.9000838122605364,,0.8868761858053346,0.9132652473843208,0.0708607545839313,,0.047908939452752035,,0.4496058601569564,0.1076266448089739,,0.0112286789505665,,0.0056143394752832,,0.0,,68400,,3.3968471989792306
residual_interval,quantile,id,heave_rate,30,3.0,1,True,434304,9,0.1,0.9004499152667256,,0.8871886973180076,0.9140011374521072,0.2461800593589461,,0.16642611214528108,,0.4496495382799816,0.3748678895718147,,0.0389174887912752,,0.0194587443956376,,0.0,,68400,,3.3968471989792306
residual_interval,quantile,id,heave_rate,50,5.0,1,True,434304,9,0.1,0.9005880673445329,,0.8873431973916888,0.9146872927718832,0.4937687273985275,,0.33384680030617603,,0.4495925540262867,0.7637401915080696,,0.077835267263534,,0.0389176336317669,,0.0,,68400,,3.3968471989792306
residual_interval,quantile,id,heave_rate,100,10.0,1,True,434304,9,0.1,0.9019534703801944,,0.8901703069739169,0.914687120081786,1.0845116022653885,,0.7335966922310099,,0.4493860488108614,1.5697737914911205,,0.1680587650612315,,0.0840293825306157,,0.0,,68400,,3.3968471989792306
residual_interval,quantile,id,heave_rate,150,15.0,1,True,434304,9,0.1,0.9032152593575008,,0.8917262447502211,0.9152875635499558,1.461246774521202,,0.9889745255207079,,0.4491394554432332,2.0788577925483,,0.22342189313542,,0.11171094656771,,0.0,,68400,,3.3968471989792306
