control,experiment,arm,regime,dof,horizon_samples,horizon_s,rmse_pipeline,rmse_raw,rel_diff,max_rel_diff,rtol,n_windows,model_matches_inline,asserted,enforced,passed
pipeline_sanity,e02_deep,reference,id,pitch,150,15.0,1.7851319465805935,1.785131912302353,1.9202077018555266e-08,4.937348367734228e-08,1e-06,434304,True,True,True,True
pipeline_sanity,e02_deep,reference,id,heave,150,15.0,1.1064528927699477,1.1064529080377674,1.3798887927619717e-08,4.937348367734228e-08,1e-06,434304,True,True,True,True
pipeline_sanity,e02_deep,reference,id,roll_rate,150,15.0,2.898093556057373,2.8980935749615626,6.5229742519207076e-09,4.937348367734228e-08,1e-06,434304,True,True,True,True
pipeline_sanity,e02_deep,reference,id,pitch_rate,150,15.0,1.3079980485482485,1.3079980284949337,1.5331303526175154e-08,4.937348367734228e-08,1e-06,434304,True,True,True,True
pipeline_sanity,e02_deep,reference,id,heave_rate,150,15.0,0.6814233594113341,0.6814233587608737,9.545614409995798e-10,4.937348367734228e-08,1e-06,434304,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,roll,10,1.0,3.259424734084911,3.259424696878951,1.141488561654121e-08,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,pitch,10,1.0,1.2228602542713822,1.2228602602413525,4.881972609622189e-09,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,heave,10,1.0,0.7230439841368342,0.7230439858258332,2.335956005191731e-09,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,roll_rate,10,1.0,1.7507606313729633,1.7507606274760819,2.225821978750152e-09,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,pitch_rate,10,1.0,0.9751166461081865,0.9751166376982676,8.624526079527221e-09,1.0234231425483073e-07,1e-06,542880,True,True,True,True
pipeline_sanity,e02_deep,reference,unseen_seastate,heave_rate,10,1.0,0.43983988704053406,0.439839883026105,9.127023769026893e-09,1.0234231425483073e-07,1e-06,542880,True,True,True,True
