control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,alpha,metric,loss_subject,loss_null,excess,tol,asserted,enforced,on_residual_floor,passed,picp_subject,picp_null,width_subject,width_null,crossing_rate_subject,crossing_rate_null
interval_shuffle,id,shuffled_interval,residual_interval,roll,10,1.0,0.1,winkler,21.805894585655558,0.060810937324214324,-357.585076059544,inf,True,True,False,True,0.9013548113763631,0.9030149388446802,12.829780885142004,0.03583730169022145,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,roll,20,2.0,0.1,winkler,22.3137798180763,0.5973630585214655,-36.35379933487213,inf,True,True,False,True,0.9014791482463896,0.9020041261420572,13.124327179893461,0.34922810576397656,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,roll,30,3.0,0.1,winkler,22.175196691742972,2.1156080071660037,-9.481713349841263,inf,True,True,False,True,0.9003969569702328,0.9016495358090185,12.912441962248268,1.2314937103533021,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,roll,50,5.0,0.1,winkler,20.247919851689982,4.430211741928835,-3.570418081839673,inf,True,True,False,True,0.900247292219275,0.9021238579428235,11.821597248267754,2.5935582944486644,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,roll,100,10.0,0.1,winkler,18.05191501293239,9.11292767206473,-0.9809127936206192,inf,True,True,False,True,0.8994160772178014,0.899694683908046,10.675056296127902,5.462815106667805,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,roll,150,15.0,0.1,winkler,21.832512750177024,13.076038542319356,-0.6696580298014703,inf,True,True,False,True,0.8961280577659888,0.8986792661361627,12.322898603873409,7.889615798264613,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,pitch,10,1.0,0.1,winkler,6.453685533055871,0.04734051164865792,-135.32479473294475,inf,True,True,False,True,0.9031945365458296,0.9033188734158561,4.462587751402439,0.02922161466552117,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,pitch,20,2.0,0.1,winkler,6.59834611387168,0.430414397316524,-14.33021700716786,inf,True,True,False,True,0.9028261310050103,0.9028906019746537,4.556778030888069,0.2723536859075807,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,pitch,30,3.0,0.1,winkler,6.560782485107045,1.3774132899709641,-3.763118326849704,inf,True,True,False,True,0.9010923224285293,0.9021261604774535,4.490976917308597,0.8902315748771623,0.0,0.0
interval_shuffle,id,shuffled_interval,residual_interval,pitch,50,5.0,0.1,winkler,6.159263447322069,2.369437345007204,-1.5994624674506186,inf,True,True,False,True,0.9030701996758032,0.9017117042440318,4.247771776807497,1.5728060823053713,0.0,0.0
