source_experiment,model,seed,vessel,ss,heading_deg,speed_kn,dof,horizon_samples,horizon_s,n_realizations,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,sse,sae,sse_persistence,sy,syy,regime,matched_n_samples,matched_lookback,matched_stride,matched_max_horizon,matched_lookbacks,matched_n_origins,matched_origin_first,matched_origin_last,matched_origin_stride,matched_windows_before
e04d_lookback_10s,ar20,0,frigate,SS3,45.0,0.0,heave,10,1.0,8,8728,0.0005504523949119239,0.0004401355487703236,0.09655247056557965,0.9999674978006727,0.12772283077649094,0.004309741583125339,0.0026445651393529716,3.841503069667384,81.36572890718388,-1.7228129753934525,142.38126453029932,id,6000,100,5,150,100|200|400,1091,399,5849,5,1151
e04d_lookback_10s,ar20,0,frigate,SS3,45.0,0.0,heave,20,2.0,8,8728,0.004960506881541125,0.003964146522825476,0.17803367503200374,0.9992236674433463,0.1276539440844107,0.03885901776964297,0.21476665373841752,34.59907085122075,276.6425958794608,-1.0518770631028644,142.22750772462234,id,6000,100,5,150,100|200|400,1091,399,5849,5,1151
e04d_lookback_10s,ar20,0,frigate,SS3,45.0,0.0,heave,30,3.0,8,8728,0.017416126763030504,0.013933457838727372,0.23211938562137022,0.9943703638173608,0.12757697756186392,0.1365146525327046,2.6473898026056686,121.6112200164125,470.2594833338834,0.19093446935542602,142.05593023584254,id,6000,100,5,150,100|200|400,1091,399,5849,5,1151
e04d_lookback_10s,ar20,0,frigate,SS3,45.0,0.0,heave,50,5.0,8,8728,0.0481835211818098,0.03859379364419676,0.23418662331524442,0.957667599177486,0.12745176636513003,0.37805298864019904,20.263376155235232,336.8466309265493,478.67297298334114,2.2560038270453617,141.77780272782076,id,6000,100,5,150,100|200|400,1091,399,5849,5,1151
e04d_lookback_10s,ar20,0,frigate,SS3,45.0,0.0,heave,100,10.0,8,8728,0.08186596154748474,0.06490611091969826,0.17213718011203524,0.7738183510990012,0.12693211807405508,0.6449586029890582,58.49536724130262,566.5005361071264,258.62119020498625,-2.8466918506460104,140.62439242840017,id,6000,100,5,150,100|200|400,1091,399,5849,5,1151
e04d_lookback_10s,ar20,0,frigate,SS3,45.0,0.0,heave,150,15.0,8,8728,0.12598560638044318,0.10025423228770303,0.15512844169324297,0.34043287411984324,0.12608622193221533,0.9992020099402594,138.53407167533865,875.018939407072,210.03786610873368,2.228347406518452,138.75600315184585,id,6000,100,5,150,100|200|400,1091,399,5849,5,1151
e04d_lookback_10s,ar20,0,frigate,SS3,45.0,0.0,heave_rate,10,1.0,8,8728,0.0016634941717057028,0.001329786268067298,0.07678716471502005,0.9995306840619834,0.0991170742278345,0.01678312424640308,0.024152233835960293,11.606374547691377,51.4626329078723,0.28444587987723935,85.74557802372924,id,6000,100,5,150,100|200|400,1091,399,5849,5,1151
e04d_lookback_10s,ar20,0,frigate,SS3,45.0,0.0,heave_rate,20,2.0,8,8728,0.008069119318665602,0.006450890053773878,0.1410631976659363,0.9967279131219325,0.09910651056160844,0.08141866031747254,0.5682860724603113,56.3033683893384,173.67695102153013,1.0200371266237198,85.72741181401815,id,6000,100,5,150,100|200|400,1091,399,5849,5,1151
e04d_lookback_10s,ar20,0,frigate,SS3,45.0,0.0,heave_rate,30,3.0,8,8728,0.016684967541452243,0.013361298282133867,0.18256905389187125,0.991647886214853,0.09908343149183234,0.1683931136642923,2.4297717021481,116.6174114064644,290.9169779833563,1.379353915237516,85.68758837606191,id,6000,100,5,150,100|200|400,1091,399,5849,5,1151
e04d_lookback_10s,ar20,0,frigate,SS3,45.0,0.0,heave_rate,50,5.0,8,8728,0.01914004782624131,0.015123645372384354,0.1785776649881711,0.9885123351333054,0.09898555604037812,0.1933620276723375,3.197428007942143,131.99917681017064,278.3357666719726,0.28471216420985,85.51817786621564,id,6000,100,5,150,100|200|400,1091,399,5849,5,1151
