model,regime,dof,horizon_samples,horizon_s,n_seeds,deterministic,n_windows,rmse_mean,rmse_std,mae_mean,mae_std,rmse_persistence,skill_mean,skill_std,skill_ci_lo,skill_ci_hi,n_params,fit_time_s_mean
ar10,id,heave_imu,10,1.0,1,True,434304,0.0031736755946708073,,0.0022962289081308487,,0.4360860094370759,0.9999470360024596,,0.9999426887795237,0.9999506679099883,54900,0.01318715000525117
ar10,id,heave_imu,20,2.0,1,True,434304,0.02181758383603264,,0.015947596275793865,,0.8272378841486192,0.9993044113665155,,0.9992375449901719,0.999359401057713,54900,0.01318715000525117
ar10,id,heave_imu,30,3.0,1,True,434304,0.07124846401764819,,0.051910926301392143,,1.1355767624159623,0.9960634296354197,,0.9956731891270939,0.9963877136593033,54900,0.01318715000525117
ar10,id,heave_imu,50,5.0,1,True,434304,0.23476028288299738,,0.16744460706059203,,1.419148162303668,0.97263510601288,,0.9701502137857573,0.974806004866158,54900,0.01318715000525117
ar10,id,heave_imu,100,10.0,1,True,434304,0.49847895174044515,,0.34153597738569497,,0.8123875004006482,0.623498089166563,,0.5881761828511666,0.6518509653459204,54900,0.01318715000525117
ar10,id,heave_imu,150,15.0,1,True,434304,0.6528225956656857,,0.44384767363988015,,1.0935546656669395,0.643623252295848,,0.6205762316602214,0.6660558077663594,54900,0.01318715000525117
ar10,id,heave_rate_imu,10,1.0,1,True,434304,0.00833481130158663,,0.006039156110322857,,0.2838667559561788,0.9991378904131526,,0.9990563200089028,0.9992084030284246,54900,0.01318715000525117
ar10,id,heave_rate_imu,20,2.0,1,True,434304,0.038067288387681995,,0.027729428382533186,,0.5325577215099725,0.9948905928347703,,0.9944456889828799,0.9952851158323388,54900,0.01318715000525117
ar10,id,heave_rate_imu,30,3.0,1,True,434304,0.08862350337731037,,0.06380314235310011,,0.7178513821406037,0.9847584636399909,,0.9834552290273801,0.9859016318382107,54900,0.01318715000525117
ar10,id,heave_rate_imu,50,5.0,1,True,434304,0.16491678104143814,,0.11543361516902777,,0.8471498442942375,0.9621026163750477,,0.9591316721851556,0.9648384888437724,54900,0.01318715000525117
ar10,id,heave_rate_imu,100,10.0,1,True,434304,0.3225313306568148,,0.22153993340653627,,0.47470625601314864,0.5383701257706468,,0.5212749202832881,0.5560573698256779,54900,0.01318715000525117
ar10,id,heave_rate_imu,150,15.0,1,True,434304,0.4209023336951373,,0.2861292773785749,,0.6780395407647745,0.6146524294513449,,0.5929045473933576,0.6349373298793077,54900,0.01318715000525117
ar10,id,pitch_imu,10,1.0,1,True,434304,0.07451685581111919,,0.0581559050859275,,0.8967465758949417,0.9930949060872526,,0.9924841898816983,0.993577755850555,54900,0.01318715000525117
ar10,id,pitch_imu,20,2.0,1,True,434304,0.2618906719337064,,0.19782286574229704,,1.639889871399927,0.9744958594629951,,0.9726848034866478,0.9760199189090413,54900,0.01318715000525117
ar10,id,pitch_imu,30,3.0,1,True,434304,0.4876013379982131,,0.35717294518644527,,2.122484405245588,0.9472234786363708,,0.9431997388881898,0.9505145562153287,54900,0.01318715000525117
ar10,id,pitch_imu,50,5.0,1,True,434304,0.6704185628681453,,0.45845800442849494,,2.234427726290816,0.9099757653233738,,0.900054494218669,0.9182573854076607,54900,0.01318715000525117
ar10,id,pitch_imu,100,10.0,1,True,434304,1.1114646412877223,,0.7393372670264041,,1.5593436358220714,0.4919486168022347,,0.4797003284378617,0.5042380746598997,54900,0.01318715000525117
ar10,id,pitch_imu,150,15.0,1,True,434304,1.2332539919764811,,0.7973239186643016,,1.7853551102885246,0.5228490005044484,,0.5016830706101321,0.5409073119225191,54900,0.01318715000525117
ar10,id,pitch_rate_imu,10,1.0,1,True,434304,0.1316733126292684,,0.10033368544065752,,0.7534204829087303,0.9694563680872165,,0.9670835722638872,0.9714239251445055,54900,0.01318715000525117
ar10,id,pitch_rate_imu,20,2.0,1,True,434304,0.2577268845108977,,0.1867319904971487,,1.3417844978848232,0.9631061559426272,,0.9602733494509353,0.9655986746622738,54900,0.01318715000525117
ar10,id,pitch_rate_imu,30,3.0,1,True,434304,0.3033219324258702,,0.2103073668827672,,1.664371083650498,0.9667870612496791,,0.9638218208529248,0.9694060392756847,54900,0.01318715000525117
ar10,id,pitch_rate_imu,50,5.0,1,True,434304,0.5966873525937949,,0.4085163542341398,,1.5495762479562236,0.8517250577603704,,0.8402448465360411,0.8619123713003315,54900,0.01318715000525117
ar10,id,pitch_rate_imu,100,10.0,1,True,434304,0.8679468493841864,,0.5709321656880177,,1.2735265809317058,0.5355165608258357,,0.5176815302619566,0.552825891497464,54900,0.01318715000525117
ar10,id,pitch_rate_imu,150,15.0,1,True,434304,0.9192087003696553,,0.5864413860567483,,1.3083418485724552,0.506387911736954,,0.4928379477504858,0.5189735464218981,54900,0.01318715000525117
ar10,id,roll_imu,10,1.0,1,True,434304,0.05896571996926128,,0.0463071220280415,,1.9448708998621889,0.9990807838314295,,0.9988895601823777,0.999201981326904,54900,0.01318715000525117
