model,dof,horizon_samples,horizon_s,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,n_realizations,skill_ci_lo,skill_ci_hi,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,val_loss_name,regime
persistence,heave_rate_imu,10,1.0,542880,0.2692264697030541,0.1906288313120202,0.2692264697030541,0.0,0.44599613457170323,0.6036520248355881,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,heave_rate_imu,20,2.0,542880,0.5100375538939901,0.3597245380490302,0.5100375538939901,0.0,0.44604889007612214,1.1434566148274636,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,heave_rate_imu,30,3.0,542880,0.6981319735930894,0.4889235524510803,0.6981319735930894,0.0,0.446081178943636,1.5650334659855734,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,heave_rate_imu,50,5.0,542880,0.8589313718674813,0.5844545913714226,0.8589313718674813,0.0,0.44610248202624475,1.9254126719181743,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,heave_rate_imu,100,10.0,542880,0.4364076754295744,0.29559084859014517,0.4364076754295744,0.0,0.4461236187348287,0.9782214101714499,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,heave_rate_imu,150,15.0,542880,0.6878237986118816,0.46870754610654775,0.6878237986118816,0.0,0.446104988676014,1.5418428757169023,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
window_mean,roll_imu,10,1.0,542880,5.6547371397582245,3.255143846470922,2.6985610675040856,-3.3909687090519265,5.056922571142006,1.1182170698099525,480,-3.433749082899523,-3.3344990644828325,0,True,0,0.0,,,,,unseen_heading
window_mean,roll_imu,20,2.0,542880,5.7716578752812016,3.3178548096770495,5.191027858910364,-0.2362162271216075,5.05832201115488,1.1410222327786241,480,-0.24800197505367444,-0.22068201576504673,0,True,0,0.0,,,,,unseen_heading
window_mean,roll_imu,30,3.0,542880,5.721672844515012,3.2890399497595895,7.291137761642001,0.38417766536998554,5.05894418945156,1.1310013770156453,480,0.3790018852488014,0.39087577605980767,0,True,0,0.0,,,,,unseen_heading
window_mean,roll_imu,50,5.0,542880,5.2018932558135,3.0054823710413627,9.760650010460157,0.715969229914818,5.058899532951392,1.0282657763671155,480,0.7148072115636958,0.7173563013699226,0,True,0,0.0,,,,,unseen_heading
window_mean,roll_imu,100,10.0,542880,4.7243042793977175,2.797943573537253,5.0273262178872296,0.11691686856204397,5.0625040885992485,0.9331951533702153,480,0.09527493834201327,0.13361355809966782,0,True,0,0.0,,,,,unseen_heading
window_mean,roll_imu,150,15.0,542880,5.636167816001561,3.2233710445685015,7.374167970357992,0.4158265973753157,5.065408120858302,1.11267792871279,480,0.405461051079162,0.42845319090467526,0,True,0,0.0,,,,,unseen_heading
window_mean,pitch_imu,10,1.0,542880,0.10033662293797692,0.07388545654568429,0.07017212762229766,-1.0445120303522755,0.10374015231040146,0.967191783541624,480,-1.0852347914154936,-1.001042647862156,0,True,0,0.0,,,,,unseen_heading
window_mean,pitch_imu,20,2.0,542880,0.10262653954899656,0.07551753218307822,0.12267707473241954,0.30017001346460326,0.10374619868389409,0.9892077093030749,480,0.2894384362679127,0.31157584892253537,0,True,0,0.0,,,,,unseen_heading
window_mean,pitch_imu,30,3.0,542880,0.10221749099993897,0.0751407508600214,0.16069881098649122,0.5954007191260076,0.10375426677437213,0.985188312517546,480,0.5903995772854407,0.6005621030384313,0,True,0,0.0,,,,,unseen_heading
window_mean,pitch_imu,50,5.0,542880,0.09573408500273264,0.070401144315587,0.1770328950899934,0.7075677684594363,0.10377352217182556,0.9225290131736935,480,0.7066321434245345,0.7084041732028356,0,True,0,0.0,,,,,unseen_heading
window_mean,pitch_imu,100,10.0,542880,0.09606252556474232,0.07142084795242377,0.11018934913367359,0.23997344732865955,0.10384858832942011,0.9250248569582913,480,0.2285479539507137,0.2521597724589446,0,True,0,0.0,,,,,unseen_heading
window_mean,pitch_imu,150,15.0,542880,0.09738330818845335,0.07157497972469204,0.1423593302052436,0.5320524524052312,0.10393027964476521,0.9370061210391285,480,0.5237528200462076,0.5399615248642277,0,True,0,0.0,,,,,unseen_heading
window_mean,heave_imu,10,1.0,542880,0.8237481055985446,0.5298365914136451,0.43606026730387726,-2.568583181372056,0.7665509251899301,1.0746162825313175,480,-2.6492347401135463,-2.4727399941000843,0,True,0,0.0,,,,,unseen_heading
window_mean,heave_imu,20,2.0,542880,0.84694237203459,0.5443904542997595,0.8315698274257227,-0.037314086839636884,0.7665892704709703,1.1048189749828525,480,-0.059692649982718414,-0.010942063371156328,0,True,0,0.0,,,,,unseen_heading
window_mean,heave_imu,30,3.0,542880,0.8499964130724832,0.5461016212427808,1.1510778266627046,0.4547134195719611,0.7666802174451053,1.108671377885583,480,0.4446129651387709,0.46671069919274144,0,True,0,0.0,,,,,unseen_heading
window_mean,heave_imu,50,5.0,542880,0.8002431494799472,0.514506818324038,1.4712293274911479,0.7041420913649692,0.7668735890338293,1.0435137693138705,480,0.7020349363246139,0.7065604452584079,0,True,0,0.0,,,,,unseen_heading
window_mean,heave_imu,100,10.0,542880,0.729843692835062,0.48289175364321363,0.7899604023666095,0.14641048096464693,0.7670895041112283,0.9514452862716192,480,0.10834861900409411,0.17767249388169434,0,True,0,0.0,,,,,unseen_heading
window_mean,heave_imu,150,15.0,542880,0.8141199736657412,0.5200727108728064,1.1357286053592752,0.4861602580009974,0.7671219799837758,1.061265346200821,480,0.47021686340135066,0.504180835871322,0,True,0,0.0,,,,,unseen_heading
window_mean,roll_rate_imu,10,1.0,542880,3.0391566983313867,1.8173945930211495,1.496810441564234,-3.122613085571693,2.7333789633757863,1.1118680355167283,480,-3.180131688359305,-3.052165495076652,0,True,0,0.0,,,,,unseen_heading
window_mean,roll_rate_imu,20,2.0,542880,3.0962277997020817,1.850385185496883,2.8699035942664333,-0.1639416122488193,2.7333456523369914,1.132761162882868,480,-0.1789595642500761,-0.14524281057515792,0,True,0,0.0,,,,,unseen_heading
window_mean,roll_rate_imu,30,3.0,542880,3.06629122947481,1.8332652711065927,4.009937432526677,0.41527507220409576,2.7337259108484315,1.1216527660313846,480,0.4088888875772293,0.42321461296681556,0,True,0,0.0,,,,,unseen_heading
window_mean,roll_rate_imu,50,5.0,542880,2.791738738973587,1.6790866188752716,5.2850940338863674,0.7209743629223209,2.735092404213842,1.0207109400298404,480,0.7198532981712036,0.7222586462047723,0,True,0,0.0,,,,,unseen_heading
