control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,passed
shuffle,unseen_vessel,shuffled,window_mean,pitch,100,10.0,0.17435281380978163,0.17235863661923534,0.002409470186942375,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,pitch,150,15.0,0.5447091598870186,0.5440356379924596,0.0014771371420205792,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,heave,10,1.0,-2.7329417764880195,-2.7245527495777933,-0.002252358195538262,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,heave,20,2.0,-0.08338965893388184,-0.0791038596563729,-0.003971628160864604,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,heave,30,3.0,0.4309362408543249,0.4338973520110866,-0.005230696530533985,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,heave,50,5.0,0.6937717723052647,0.6942582772696753,-0.001591228570526848,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,heave,100,10.0,0.24177636793144897,0.2409090087894692,0.001142628686182423,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,heave,150,15.0,0.4793876284921528,0.4789627188651604,0.0008155071477167208,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,roll_rate,10,1.0,-3.978010524513275,-3.9828074108737894,0.0009626874901981219,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,roll_rate,20,2.0,-0.48796157571857735,-0.48954077050106104,0.0010601890285637516,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,roll_rate,30,3.0,0.2129504097018824,0.21203973213009852,0.0011557404718459674,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,roll_rate,50,5.0,0.6058428134313918,0.6054190023709238,0.0010740787392563567,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,roll_rate,100,10.0,0.6340787711428673,0.6325101333739264,0.004268519791695402,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,roll_rate,150,15.0,-0.37772345274772845,-0.38461298818751777,0.004975784207259082,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,pitch_rate,10,1.0,-1.161007402007781,-1.1533498762144312,-0.0035560992098560007,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,pitch_rate,20,2.0,0.3367200042331219,0.33733838469105526,-0.0009331768185261158,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,pitch_rate,30,3.0,0.6177320599638536,0.6171211622043005,0.0015955380638694727,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,pitch_rate,50,5.0,0.7055326559214518,0.7061656784073048,-0.002154351753130168,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,pitch_rate,100,10.0,0.26581481081678937,0.2660891264941885,-0.00037377246652403606,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,pitch_rate,150,15.0,0.544244195462952,0.5442489031786351,-1.0329576200396318e-05,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,heave_rate,10,1.0,-2.2496195275807973,-2.2354826670538235,-0.004369320432752177,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,heave_rate,20,2.0,0.053765191344810614,0.05674437912090158,-0.003158409777950233,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,heave_rate,30,3.0,0.49743505709326574,0.49813876151978154,-0.0014021892359068477,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,heave_rate,50,5.0,0.710322228934809,0.711422875612522,-0.003814046868923615,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,heave_rate,100,10.0,0.050228416686141086,0.049911832870356276,0.00033321519700768576,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,heave_rate,150,15.0,0.5485903157346548,0.5480766811825034,0.0011365524432227492,0.02,True
