regime,grid_kind,sign_convention,heading_deg,speed_kn,model,record,dof,horizon_samples,horizon_s,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,n_records
unseen_vessel,mss,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,pitch_rate,20,2.0,1131,1.4488128401702283,1.1392291439992905,1.4488128401702283,0.0,1.2209423618775723,1.186634918574072,3
unseen_vessel,mss,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,pitch_rate,30,3.0,1131,1.9774756905212716,1.5497488256967824,1.9774756905212716,0.0,1.2249628704028226,1.6143147994934648,3
unseen_vessel,mss,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,pitch_rate,50,5.0,1131,2.39314747335292,1.848619052553086,2.39314747335292,0.0,1.225848106587182,1.9522381773836184,3
unseen_vessel,mss,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,pitch_rate,100,10.0,1131,0.8200178987918048,0.6515569364339023,0.8200178987918048,0.0,1.2333709514981754,0.6648590983886309,3
unseen_vessel,mss,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,pitch_rate,150,15.0,1131,2.2127316920296476,1.7105849040634487,2.2127316920296476,0.0,1.2365899766861803,1.7893818757607405,3
unseen_vessel,mss,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,heave_rate,10,1.0,1131,0.2388580102167907,0.19278714179940215,0.2388580102167907,0.0,0.35160569066282027,0.6793348815444761,3
unseen_vessel,mss,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,heave_rate,20,2.0,1131,0.44546480725262416,0.359853151983997,0.44546480725262416,0.0,0.3516851884235671,1.2666578574134022,3
unseen_vessel,mss,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,heave_rate,30,3.0,1131,0.5927468665565958,0.4796623588823135,0.5927468665565958,0.0,0.3516672746059307,1.6855331995870604,3
unseen_vessel,mss,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,heave_rate,50,5.0,1131,0.659746363652853,0.5357511981424905,0.659746363652853,0.0,0.351475056979475,1.8770787586539321,3
unseen_vessel,mss,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,heave_rate,100,10.0,1131,0.42647171251178734,0.3306203477371583,0.42647171251178734,0.0,0.35058236232182444,1.2164665378125858,3
unseen_vessel,mss,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,heave_rate,150,15.0,1131,0.47566881603618155,0.383264859145547,0.47566881603618155,0.0,0.35114216283464256,1.3546331554042976,3
unseen_vessel,mss,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,roll,10,1.0,1131,0.06658097894130467,0.05390976445202211,0.04262900882998898,-1.4394385505345548,0.06458727673978673,1.0308683428401897,3
unseen_vessel,mss,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,roll,20,2.0,1131,0.0684335471825748,0.05528683876153228,0.08002874753043972,0.26878336435957917,0.0645486342906832,1.0601858263088355,3
unseen_vessel,mss,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,roll,30,3.0,1131,0.06902904200458652,0.05564868284459484,0.10782934110969425,0.5901831701279194,0.06470093331392082,1.0668940688948994,3
unseen_vessel,mss,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,roll,50,5.0,1131,0.06578324315145063,0.052882312925280464,0.1254130510192381,0.7248654726865487,0.0648975573096678,1.013647444965558,3
unseen_vessel,mss,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,roll,100,10.0,1131,0.06487454566155021,0.0522985070411548,0.053040993382937586,-0.49597852882529825,0.06502345962060786,0.9977098425717961,3
unseen_vessel,mss,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,roll,150,15.0,1131,0.06474961914137539,0.052448328148083825,0.10989167580616682,0.6528278780130705,0.06431191129392698,1.0068060152255147,3
unseen_vessel,mss,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,pitch,10,1.0,1131,1.8727911319169597,1.4264517342865264,1.0947915985594425,-1.9262793086869379,1.8027417743228564,1.0388571222966279,3
unseen_vessel,mss,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,pitch,20,2.0,1131,1.897906151786689,1.4496664478210732,2.082841415702196,0.169696138695551,1.8029856979413899,1.0526462600084279,3
unseen_vessel,mss,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,pitch,30,3.0,1131,1.8960063551911703,1.4522219407702586,2.867101493598178,0.5626859369920788,1.8041198868316883,1.0509314647159334,3
unseen_vessel,mss,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,pitch,50,5.0,1131,1.827062166033043,1.4041333483539482,3.5582199588148082,0.7363419314678912,1.8164862235216668,1.005822198029596,3
unseen_vessel,mss,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,pitch,100,10.0,1131,1.8115034446516456,1.3880591584327544,1.172561872606262,-1.386749232375069,1.8273536993237618,0.9913261156403482,3
unseen_vessel,mss,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,pitch,150,15.0,1131,1.8708778789970135,1.4410952810810715,3.2712653398065306,0.6729159733393242,1.8337550509660305,1.0202441585703754,3
unseen_vessel,mss,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,heave,10,1.0,1131,0.6067027240719007,0.48747918505889043,0.3541780441416213,-1.9343277391196372,0.5636727298336444,1.076338612746009,3
unseen_vessel,mss,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,heave,20,2.0,1131,0.6203517166306854,0.4974135966913775,0.66643335194914,0.13351204521567017,0.5650607066400064,1.0978496811775382,3
unseen_vessel,mss,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,heave,30,3.0,1131,0.6160033364336687,0.4929083517802101,0.9020672983280114,0.5336754813088402,0.5658583276938811,1.0886176031801993,3
unseen_vessel,mss,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,heave,50,5.0,1131,0.5709474898260757,0.4553148047119305,1.0717208824686395,0.7161891791338474,0.5656673151359188,1.0093344171545215,3
unseen_vessel,mss,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,heave,100,10.0,1131,0.5583427970086233,0.4516549267580278,0.6316689981817165,0.21869120968665767,0.5671435193945501,0.9844823715956026,3
unseen_vessel,mss,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,heave,150,15.0,1131,0.5935725211922311,0.47727086380833117,0.8005824690095467,0.4502877393063951,0.5699510478670528,1.0414447405853149,3
unseen_vessel,mss,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,roll_rate,10,1.0,1131,0.0382169491786846,0.030915066793069785,0.026088329775151936,-1.1459494047801337,0.037239005385980205,1.0262612758468725,3
unseen_vessel,mss,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,roll_rate,20,2.0,1131,0.03940399984369009,0.03181097047016629,0.04816639739455155,0.33074397689261736,0.037305803710695855,1.0562431558710172,3
unseen_vessel,mss,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,roll_rate,30,3.0,1131,0.03958473376740651,0.03186239320026097,0.06350117911397223,0.6114097696098737,0.03726151304182726,1.0623490710903596,3
unseen_vessel,mss,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,roll_rate,50,5.0,1131,0.03759616078380735,0.030095055719383167,0.07056269519065934,0.7161187719801215,0.03725466184654153,1.0091666095017184,3
unseen_vessel,mss,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,roll_rate,100,10.0,1131,0.03751661828126725,0.030216405389580862,0.033960062353009614,-0.22042307684940954,0.03733225054541398,1.0049385647304865,3
