heading_deg,speed_kn,dof,metric,corpus_mean,corpus_sd,corpus_n,mss_mean,mss_sd,mss_n,ratio_mss_over_corpus,z_in_corpus_sd
180.0,0.0,roll,rms,0.0644384369127815,0.0028274649481626196,8,4.5163675828684986e-07,3.791373020099458e-08,3,7.008809957605702e-06,-22.79002090473205
180.0,0.0,pitch,rms,1.8282878950898098,0.1607354279514565,8,0.6259386206988556,0.024964628765864402,3,0.3423632691437297,-7.480300327778853
180.0,0.0,heave,rms,0.5683897825951765,0.04389797597211811,8,0.2006168133529834,0.005920877538171491,3,0.35295640332765876,-8.37790265035875
180.0,0.0,roll,sig_amp,0.128876873825563,0.005654929896325239,8,9.032735165736997e-07,7.582746040198915e-08,3,7.008809957605702e-06,-22.79002090473205
180.0,0.0,pitch,sig_amp,3.6565757901796196,0.321470855902913,8,1.2518772413977113,0.049929257531728805,3,0.3423632691437297,-7.480300327778853
180.0,0.0,heave,sig_amp,1.136779565190353,0.08779595194423621,8,0.4012336267059668,0.011841755076342981,3,0.35295640332765876,-8.37790265035875
180.0,0.0,roll,tz_s,10.771295434907083,0.3623431069841803,8,9.2833416005291,0.03571666532434709,3,0.8618593424189355,-4.106477550414519
180.0,0.0,pitch,tz_s,9.38817729593206,0.18190043946177908,8,10.020303372903712,0.23238147383705093,3,1.067332140951956,3.4751212192891594
180.0,0.0,heave,tz_s,10.045812396823443,0.2168309264236658,8,9.553354668032087,0.24507656062287314,3,0.9509788049648354,-2.2711600089239266
180.0,6.0,roll,rms,0.030876429202608684,0.00149970630348373,8,4.879736394079291e-07,7.370903170262426e-09,3,1.5804082661433572e-05,-20.587991900311593
180.0,6.0,pitch,rms,1.4956871533185438,0.12040245725858456,8,0.6377238778955756,0.01102084831423049,3,0.42637517911458345,-7.1257953945271035
180.0,6.0,heave,rms,0.45538127547271856,0.028896405759050375,8,0.20075141512664355,0.006997020074745787,3,0.4408424894463417,-8.811817721182324
180.0,6.0,roll,sig_amp,0.06175285840521737,0.00299941260696746,8,9.759472788158581e-07,1.4741806340524852e-08,3,1.5804082661433572e-05,-20.587991900311593
180.0,6.0,pitch,sig_amp,2.9913743066370877,0.24080491451716912,8,1.2754477557911512,0.02204169662846098,3,0.42637517911458345,-7.1257953945271035
180.0,6.0,heave,sig_amp,0.9107625509454371,0.05779281151810075,8,0.4015028302532871,0.013994040149491575,3,0.4408424894463417,-8.811817721182324
180.0,6.0,roll,tz_s,8.768134047558556,0.3008136031497085,8,7.473321642349421,0.18053253009985148,3,0.8523274851654818,-4.304367859869471
