heading_deg,metric,dof,corpus_mean,corpus_sd,mss_mean,ratio_mss_over_corpus,z_in_corpus_sd,ratio_min_over_speed,ratio_max_over_speed,ratio_spread_over_speed,n_speeds
135.0,rms,heave,0.4798653062119804,0.02742112109787576,0.36325049237071944,0.7569842780220781,-4.25273691126709,0.6646106659511666,0.8887662131029933,0.22415554715182673,3
135.0,rms,pitch,1.1130865463138686,0.06250738707188276,0.8709407275744332,0.7824555336318341,-3.873875234313835,0.695921250244487,0.900343543532633,0.20442229328814598,3
135.0,rms,roll,0.5841477320646461,0.025778237534047652,0.5760204354245398,0.9860869156995943,-0.3152774362239387,0.6478446578504767,1.626836583753634,0.9789919259031573,3
135.0,sig_amp,heave,0.9597306124239608,0.05484224219575152,0.7265009847414389,0.7569842780220781,-4.25273691126709,0.6646106659511666,0.8887662131029933,0.22415554715182673,3
135.0,sig_amp,pitch,2.226173092627737,0.12501477414376552,1.7418814551488664,0.7824555336318341,-3.873875234313835,0.695921250244487,0.900343543532633,0.20442229328814598,3
135.0,sig_amp,roll,1.1682954641292922,0.051556475068095305,1.1520408708490797,0.9860869156995943,-0.3152774362239387,0.6478446578504767,1.626836583753634,0.9789919259031573,3
135.0,tz_s,heave,9.226306441501317,0.2255567596995366,8.808387840449205,0.9547035854811574,-1.8528311969404925,0.9109022400247616,1.0101878294106703,0.0992855893859087,3
135.0,tz_s,pitch,8.37443645804199,0.2143681592689138,8.21898323862599,0.9814371724957424,-0.7251693532573166,0.9452343544666255,1.0080209416280297,0.06278658716140417,3
135.0,tz_s,roll,9.422337597595655,0.26876937496733727,8.509961935391171,0.9031688630603408,-3.394641455394099,0.8847357558845397,0.9152820537801497,0.03054629789561003,3
180.0,rms,heave,0.4584987831234595,0.02924317128838663,0.20220351064003408,0.4410120987945718,-8.764277648136208,0.35295640332765876,0.5835301256854092,0.23057372235775042,3
180.0,rms,pitch,1.5009501943363122,0.1154664078072351,0.6417835825185211,0.4275848625358978,-7.4408360676823255,0.3423632691437297,0.5612876249784248,0.21892435583469505,3
180.0,rms,roll,0.03828481645485809,0.0017162028478451216,4.796751294475773e-07,1.2529121825963717e-05,-22.30758259596106,7.008809957605702e-06,2.555914239720579e-05,1.8550332439600086e-05,3
180.0,sig_amp,heave,0.916997566246919,0.05848634257677326,0.40440702128006817,0.4410120987945718,-8.764277648136208,0.35295640332765876,0.5835301256854092,0.23057372235775042,3
180.0,sig_amp,pitch,3.0019003886726243,0.2309328156144702,1.2835671650370422,0.4275848625358978,-7.4408360676823255,0.3423632691437297,0.5612876249784248,0.21892435583469505,3
180.0,sig_amp,roll,0.07656963290971618,0.003432405695690243,9.593502588951546e-07,1.2529121825963717e-05,-22.30758259596106,7.008809957605702e-06,2.555914239720579e-05,1.8550332439600086e-05,3
180.0,tz_s,heave,8.892526645683732,0.21809660071349948,7.985338486074096,0.8979830822266955,-4.159570376804521,0.8516873493297558,0.9509788049648354,0.09929145563507968,3
180.0,tz_s,pitch,8.106520710955975,0.16180243171890504,8.46969388350015,1.0448001288707431,2.2445470607951483,1.013424784181964,1.067332140951956,0.05390735676999214,3
180.0,tz_s,roll,8.96579456405549,0.2675809918181909,7.670967855376385,0.8555814881293224,-4.839008555431621,0.8502689939280023,0.8618593424189355,0.011590348490933211,3
