heading_deg,speed_kn,dof,band_lo_rad_s,band_hi_rad_s,corpus_band_power,mss_band_power,ratio_mss_over_corpus,corpus_peak_w,mss_peak_w
180.0,0.0,roll,0.4,1.5,0.0038353243823896366,1.93303677928637e-13,5.040086799860126e-11,0.6442719309119693,0.6749515466696822
180.0,0.0,pitch,0.4,1.5,3.2901472233885554,0.40725032943937306,0.12377875571778879,0.6442719309119693,0.6442719309119693
180.0,0.0,heave,0.4,1.5,0.31185041439488204,0.03755239550077994,0.12041797530924248,0.6442719309119693,0.5829126993965437
180.0,6.0,roll,0.4,1.5,0.0009633871874007132,2.2030944729243546e-13,2.28682143766979e-10,0.7669903939428205,0.7976700097005334
180.0,6.0,pitch,0.4,1.5,2.3341832289858093,0.39574505416496886,0.16954326860488927,0.7669903939428205,0.7363107781851077
180.0,6.0,heave,0.4,1.5,0.2073843930225263,0.04078316366441247,0.19665493179123927,0.7363107781851077,0.6749515466696822
180.0,12.0,roll,0.4,1.5,0.00037945121930152626,2.473893766964914e-13,6.519662188775482e-10,0.859029241215959,0.9510680884890975
180.0,12.0,pitch,0.4,1.5,1.3671200302988118,0.3890283038457459,0.2845604593773056,0.859029241215959,0.8897088569736719
180.0,12.0,heave,0.4,1.5,0.12409403547703508,0.04077098416330332,0.32854910396437564,0.705631162427395,0.6442719309119693
135.0,0.0,roll,0.4,1.5,0.719466257340399,0.3279887708799954,0.4558779060639323,0.521553467881118,0.6442719309119693
135.0,0.0,pitch,0.4,1.5,1.5414277920817634,0.7708365650497894,0.5000795814176556,0.6442719309119693,0.6442719309119693
135.0,0.0,heave,0.4,1.5,0.2986299861508519,0.1283206215377908,0.42969771117683436,0.6135923151542565,0.6442719309119693
135.0,6.0,roll,0.4,1.5,0.2697717534476848,0.317986864963486,1.178725574118164,0.705631162427395,0.7363107781851077
135.0,6.0,pitch,0.4,1.5,1.2485777333974803,0.7156003332106265,0.573132384207606,0.7363107781851077,0.7363107781851077
135.0,6.0,heave,0.4,1.5,0.23450064234320547,0.1276516860607934,0.5443553790951569,0.705631162427395,0.705631162427395
135.0,12.0,roll,0.4,1.5,0.11906199469178816,0.31214694408137783,2.6217177436798558,0.7669903939428205,0.8283496254582462
135.0,12.0,pitch,0.4,1.5,0.8818512189456019,0.7181869053308373,0.8144082469938044,0.8283496254582462,0.8283496254582462
135.0,12.0,heave,0.4,1.5,0.1587834333765715,0.12832304901654515,0.8081639645126808,0.7669903939428205,0.8283496254582462
