regime,grid_kind,ss,heading_deg,speed_kn,model,record,threshold_set,rule,scorable,base_rate,always_yes_sample_f1,n_onsets_true,n_onsets_pred,n_matched,precision,recall,f1,false_alarms_per_min,lead_p10,median_lead_time_s,lead_p90,n_onsets_true_raw,n_excluded_true,n_excluded_pred,n_windows,duration_s,peak_roll_deg,peak_pitch_deg,peak_heave_rate_mps,roll_limit_deg,pitch_limit_deg,heave_rate_limit_mps,sustain_s,n_records
unseen_vessel,mss,SS5,180.0,0.0,ar20|0,S175_h180.0_u00.0_s002,strict,point,True,0.8456896551724138,0.916394208313872,11,199,11,0.05527638190954774,1.0,0.10476190476190478,19.448275862068964,1.3,1.6,2.5,13,2,0,1131,580.0,1.27117e-06,1.95463,0.479135,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,ar40|0,S175_h180.0_u00.0_s000,permissive,point,False,1.0,1.0,0,0,0,,,,0.0,,,,1,1,0,1131,580.0,1.35975e-06,1.82939,0.399062,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,ar40|0,S175_h180.0_u00.0_s000,strict,point,True,0.7889655172413793,0.882035466461064,13,234,13,0.05555555555555555,1.0,0.10526315789473684,22.862068965517242,1.1,2.0,5.66,16,3,0,1131,580.0,1.35975e-06,1.82939,0.399062,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,ar40|0,S175_h180.0_u00.0_s001,permissive,point,False,1.0,1.0,0,0,0,,,,0.0,,,,1,1,0,1131,580.0,1.36606e-06,1.88133,0.370724,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,ar40|0,S175_h180.0_u00.0_s001,strict,point,True,0.8724137931034482,0.9318600368324126,17,201,17,0.0845771144278607,1.0,0.1559633027522936,19.03448275862069,1.36,1.9,4.960000000000001,21,4,0,1131,580.0,1.36606e-06,1.88133,0.370724,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,ar40|0,S175_h180.0_u00.0_s002,permissive,point,False,1.0,1.0,0,0,0,,,,0.0,,,,1,1,0,1131,580.0,1.27117e-06,1.95463,0.479135,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,ar40|0,S175_h180.0_u00.0_s002,strict,point,True,0.8456896551724138,0.916394208313872,11,183,11,0.060109289617486336,1.0,0.11340206185567009,17.79310344827586,1.6,2.0,5.8,13,2,0,1131,580.0,1.27117e-06,1.95463,0.479135,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,damped_persistence|0,S175_h180.0_u00.0_s000,permissive,point,False,1.0,1.0,0,0,0,,,,0.0,,,,1,1,0,1131,580.0,1.35975e-06,1.82939,0.399062,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,damped_persistence|0,S175_h180.0_u00.0_s000,strict,point,True,0.7889655172413793,0.882035466461064,13,111,6,0.05405405405405406,0.46153846153846156,0.0967741935483871,10.862068965517242,0.35,0.55,0.7,16,3,0,1131,580.0,1.35975e-06,1.82939,0.399062,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,damped_persistence|0,S175_h180.0_u00.0_s001,permissive,point,False,1.0,1.0,0,0,0,,,,0.0,,,,1,1,0,1131,580.0,1.36606e-06,1.88133,0.370724,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,damped_persistence|0,S175_h180.0_u00.0_s001,strict,point,True,0.8724137931034482,0.9318600368324126,17,74,9,0.12162162162162163,0.5294117647058824,0.19780219780219785,6.724137931034483,0.4,0.6,0.7,21,4,0,1131,580.0,1.36606e-06,1.88133,0.370724,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,damped_persistence|0,S175_h180.0_u00.0_s002,permissive,point,False,1.0,1.0,0,0,0,,,,0.0,,,,1,1,0,1131,580.0,1.27117e-06,1.95463,0.479135,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,damped_persistence|0,S175_h180.0_u00.0_s002,strict,point,True,0.8456896551724138,0.916394208313872,11,95,5,0.05263157894736842,0.45454545454545453,0.09433962264150943,9.310344827586206,0.3,0.4,0.56,13,2,0,1131,580.0,1.27117e-06,1.95463,0.479135,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,dlinear_ols|0,S175_h180.0_u00.0_s000,permissive,point,False,1.0,1.0,0,0,0,,,,0.0,,,,1,1,0,1131,580.0,1.35975e-06,1.82939,0.399062,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,dlinear_ols|0,S175_h180.0_u00.0_s000,strict,point,True,0.7889655172413793,0.882035466461064,13,207,13,0.06280193236714976,1.0,0.11818181818181818,20.06896551724138,1.42,1.7,2.9200000000000004,16,3,0,1131,580.0,1.35975e-06,1.82939,0.399062,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,dlinear_ols|0,S175_h180.0_u00.0_s001,permissive,point,False,1.0,1.0,0,0,0,,,,0.0,,,,1,1,0,1131,580.0,1.36606e-06,1.88133,0.370724,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,dlinear_ols|0,S175_h180.0_u00.0_s001,strict,point,True,0.8724137931034482,0.9318600368324126,17,153,17,0.1111111111111111,1.0,0.19999999999999998,14.068965517241379,1.26,1.7,2.72,21,4,0,1131,580.0,1.36606e-06,1.88133,0.370724,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,dlinear_ols|0,S175_h180.0_u00.0_s002,permissive,point,False,1.0,1.0,0,0,0,,,,0.0,,,,1,1,0,1131,580.0,1.27117e-06,1.95463,0.479135,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,dlinear_ols|0,S175_h180.0_u00.0_s002,strict,point,True,0.8456896551724138,0.916394208313872,11,150,11,0.07333333333333333,1.0,0.13664596273291926,14.379310344827585,1.5,1.9,2.6,13,2,0,1131,580.0,1.27117e-06,1.95463,0.479135,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,dlinear|0,S175_h180.0_u00.0_s000,permissive,point,False,1.0,1.0,0,0,0,,,,0.0,,,,1,1,0,1131,580.0,1.35975e-06,1.82939,0.399062,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,dlinear|0,S175_h180.0_u00.0_s000,strict,point,True,0.7889655172413793,0.882035466461064,13,203,13,0.06403940886699508,1.0,0.12037037037037038,19.655172413793103,1.0,1.4,2.0200000000000005,16,3,0,1131,580.0,1.35975e-06,1.82939,0.399062,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,dlinear|0,S175_h180.0_u00.0_s001,permissive,point,False,1.0,1.0,0,0,0,,,,0.0,,,,1,1,0,1131,580.0,1.36606e-06,1.88133,0.370724,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,dlinear|0,S175_h180.0_u00.0_s001,strict,point,True,0.8724137931034482,0.9318600368324126,17,158,17,0.10759493670886076,1.0,0.1942857142857143,14.586206896551724,0.8200000000000001,1.4,2.1,21,4,0,1131,580.0,1.36606e-06,1.88133,0.370724,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,dlinear|0,S175_h180.0_u00.0_s002,permissive,point,False,1.0,1.0,0,0,0,,,,0.0,,,,1,1,0,1131,580.0,1.27117e-06,1.95463,0.479135,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,dlinear|0,S175_h180.0_u00.0_s002,strict,point,True,0.8456896551724138,0.916394208313872,11,149,11,0.0738255033557047,1.0,0.1375,14.275862068965518,1.1,1.6,2.3,13,2,0,1131,580.0,1.27117e-06,1.95463,0.479135,1.5,1.0,0.4,3.0,3
