model,head,regime,dof,horizon_samples,horizon_s,picp_id,picp_ood,picp_delta,width_id,width_ood,width_delta,width_ratio_id,width_ratio_ood
dlinear_gaussian_conformal,gaussian,unseen_heading,heave,10,1.0,0.8980898172708517,0.911203212496316,0.013113395225464286,0.04442344571510223,0.041981632675500834,-0.0024418130396013996,0.01778696686541928,0.016372038336583548
dlinear_gaussian_conformal,gaussian,unseen_heading,heave,20,2.0,0.8976293103448275,0.9109134001375381,0.013284089792710563,0.2804223649121799,0.28476767728285607,0.0043453123706761465,0.11227394043693119,0.11104425243494903
dlinear_gaussian_conformal,gaussian,unseen_heading,heave,30,3.0,0.8957512095981924,0.9096344189016602,0.013883209303467758,0.6910779797699741,0.70526127695193,0.014183297181955878,0.27668899206644876,0.27499520156196333
dlinear_gaussian_conformal,gaussian,unseen_heading,heave,50,5.0,0.8972693474309854,0.9096331908831908,0.012363843452205425,0.8441610537588115,0.8697493379750568,0.02558828421624537,0.3379473781772943,0.33906735934453086
dlinear_gaussian_conformal,gaussian,unseen_heading,heave,100,10.0,0.8992671799783869,0.9145507908438942,0.015283610865507335,1.798786624247871,1.8322434521337285,0.033456827885857576,0.7202857496841748,0.714199217862539
dlinear_gaussian_conformal,gaussian,unseen_heading,heave,150,15.0,0.8986132601434326,0.904981456921112,0.0063681967776794135,2.416284442157539,2.415824742895374,-0.0004596992621652696,0.9681001593464985,0.9415880847682013
dlinear_gaussian_conformal,gaussian,unseen_heading,heave_rate,10,1.0,0.9019266074761765,0.9412829108949797,0.03935630341880325,0.027253329250416406,0.02626156897634743,-0.000991760274068977,0.01842783897550667,0.017778690542916642
dlinear_gaussian_conformal,gaussian,unseen_heading,heave_rate,20,2.0,0.9010132687395619,0.935454735239218,0.03444146649965607,0.16845597290944503,0.17347222699501832,0.005016254085573296,0.11389304353249367,0.1174260492810827
dlinear_gaussian_conformal,gaussian,unseen_heading,heave_rate,30,3.0,0.899910354651734,0.9299403183023873,0.030029963650653357,0.40570960074326173,0.4151974367879103,0.00948783604464859,0.2742735203149248,0.2810265020563411
dlinear_gaussian_conformal,gaussian,unseen_heading,heave_rate,50,5.0,0.9015528293545535,0.931433588761175,0.029880759406621493,0.5040580322131231,0.5262844669650549,0.022226434751931867,0.34080360275056254,0.35619546302215027
dlinear_gaussian_conformal,gaussian,unseen_heading,heave_rate,100,10.0,0.9028268985165537,0.9285630955889577,0.025736197072403932,1.1254587917429058,1.1513819928372915,0.02592320109438573,0.7612946188314412,0.779280617019099
dlinear_gaussian_conformal,gaussian,unseen_heading,heave_rate,150,15.0,0.9030325916101778,0.9119387955594852,0.008906203949307412,1.4711110071809987,1.471706146481625,0.0005951393006262684,0.9956506564689146,0.9961225365152373
