model,head,regime,dof,horizon_samples,horizon_s,n_seeds,deterministic,n_windows,n_quantiles,alpha,picp_mean,picp_std,picp_ci_lo,picp_ci_hi,mean_interval_width_mean,mean_interval_width_std,width_ratio_mean,width_ratio_std,signal_std,winkler_mean,winkler_std,crps_mean,crps_std,pinball_mean,pinball_std,crossing_rate_mean,crossing_rate_std,n_params,val_loss_name,fit_time_s_mean
dlinear_gaussian_conformal,gaussian,id,heave,10,1.0,3,False,434304,9,0.1,0.8980898172708517,0.0007520128861905224,0.8814803110263779,0.9147296594090776,0.04442344571510223,0.0016220679501230933,0.01778696686541928,0.0006494694055776411,0.7591945699315659,0.07738117589000842,0.0017373233049965647,0.007495822538929342,0.0001842509733202534,0.003747911269464671,9.212548666012709e-05,0.0,0.0,121500,conformal,
dlinear_gaussian_conformal,gaussian,id,heave,20,2.0,3,False,434304,9,0.1,0.8976293103448275,0.0001332290390278791,0.8808482652704097,0.9143373075081049,0.2804223649121799,0.0012051679159149234,0.11227394043693119,0.00048251839987980096,0.7592353662201028,0.5108782187352748,0.003186014032730811,0.04808158031597723,0.0001821424884494838,0.024040790157988618,9.107124422475115e-05,0.0,0.0,121500,conformal,
dlinear_gaussian_conformal,gaussian,id,heave,30,3.0,3,False,434304,9,0.1,0.8957512095981924,0.0004607390397687248,0.8783697018678162,0.9130320581896552,0.6910779797699741,0.005996280176650871,0.27668899206644876,0.0024007489267387555,0.7592379733777742,1.2786234499985805,0.0018082876428052884,0.11953464494897141,0.000544916565871129,0.05976732247448572,0.0002724582829355372,0.0,0.0,121500,conformal,
dlinear_gaussian_conformal,gaussian,id,heave,50,5.0,3,False,434304,9,0.1,0.8972693474309854,0.00016972247080006587,0.8807448239021515,0.9138517029546124,0.8441610537588115,0.0023684642479365105,0.3379473781772943,0.0009481795912435966,0.7593097520603712,1.5284791803043873,0.0010310361554577336,0.14451258672474052,0.0003147579702612947,0.07225629336237026,0.00015737898513067502,0.0,0.0,121500,conformal,
dlinear_gaussian_conformal,gaussian,id,heave,100,10.0,3,False,434304,9,0.1,0.8992671799783869,0.0002632788348560715,0.8850958660293251,0.9137537876694666,1.798786624247871,0.005010410566140708,0.7202857496841748,0.0020063120784918538,0.7591324816869609,2.818554095927285,0.002510910890139895,0.2912689190232466,0.00040107881001161147,0.14563445951162327,0.0002005394050058492,0.0,0.0,121500,conformal,
dlinear_gaussian_conformal,gaussian,id,heave,150,15.0,3,False,434304,9,0.1,0.8986132601434326,6.988992311271216e-05,0.8847554938476275,0.912856144543914,2.416284442157539,0.0007235262675646052,0.9681001593464985,0.0002898855294930698,0.758700750262978,3.705810540677234,0.0007021013992064615,0.38577393706345386,4.313619092582466e-05,0.19288696853172693,2.1568095462906627e-05,0.0,0.0,121500,conformal,
dlinear_gaussian_conformal,gaussian,id,heave_rate,10,1.0,3,False,434304,9,0.1,0.9019266074761765,0.001557686942326871,0.8871551378757737,0.9157299955791335,0.027253329250416406,0.0010049833610523548,0.01842783897550667,0.0006795379522394809,0.4495602477358838,0.040604961402946275,0.0008890383795884265,0.004374727304193994,0.00013758137756812616,0.0021873636520969974,6.879068878406334e-05,0.0,0.0,121500,conformal,
dlinear_gaussian_conformal,gaussian,id,heave_rate,20,2.0,3,False,434304,9,0.1,0.9010132687395619,0.00016418110657793819,0.8877025654840849,0.9145064286766873,0.16845597290944503,0.0006417825896194514,0.11389304353249367,0.00043390905739637054,0.4496058601569564,0.2563174434103816,0.0003731635598774963,0.02723635560032707,7.418416335590932e-05,0.013618177800163533,3.709208167795031e-05,0.0,0.0,121500,conformal,
dlinear_gaussian_conformal,gaussian,id,heave_rate,30,3.0,3,False,434304,9,0.1,0.899910354651734,0.00027253036956292783,0.8864707094569703,0.9140192123489538,0.40570960074326173,0.002010479954689598,0.2742735203149248,0.0013591529845118418,0.4496495382799816,0.6237849726623605,0.002246385980984667,0.06594574205494254,0.0003234704321459902,0.032972871027471255,0.00016173521607297801,0.0,0.0,121500,conformal,
dlinear_gaussian_conformal,gaussian,id,heave_rate,50,5.0,3,False,434304,9,0.1,0.9015528293545535,6.0219094600213006e-05,0.8887186164529914,0.9150909270925435,0.5040580322131231,0.0017413286629780458,0.34080360275056254,0.001177346741822804,0.4495925540262867,0.759798809439164,0.0018752686141748456,0.08083519790115697,0.0002656264343726535,0.04041759895057848,0.00013281321718631973,0.0,0.0,121500,conformal,
dlinear_gaussian_conformal,gaussian,id,heave_rate,100,10.0,3,False,434304,9,0.1,0.9028268985165537,7.616947894507604e-05,0.8910390532898614,0.9150078631557619,1.1254587917429058,0.0018919308882022767,0.7612946188314412,0.0012797596988503614,0.4493860488108614,1.6048718860182898,0.0020064545116791873,0.17763624134921355,0.00023506984629670038,0.08881812067460682,0.00011753492314835263,0.0,0.0,121500,conformal,
dlinear_gaussian_conformal,gaussian,id,heave_rate,150,15.0,3,False,434304,9,0.1,0.9030325916101778,0.00012238861421352587,0.8914353194997052,0.9152126160477453,1.4711110071809987,0.0009867975613776405,0.9956506564689146,0.0006678664186397983,0.4491394554432332,2.0932589522753697,0.00017146190860818357,0.23039495344850228,2.8379322922839734e-05,0.11519747672425112,1.4189661461480476e-05,0.0,0.0,121500,conformal,
dlinear_gaussian_conformal,gaussian,id,pitch,10,1.0,3,False,434304,9,0.1,0.9024093722369585,0.0012837885021617305,0.8853123042845565,0.9180241259578543,0.10541323060484677,0.002690584991585633,0.025814001389198968,0.0006588809043421543,1.2413165389175655,0.17069302399523664,0.0035015758830581304,0.01691559063137846,0.00045543828575154603,0.00845779531568923,0.00022771914287577152,0.0,0.0,121500,conformal,
dlinear_gaussian_conformal,gaussian,id,pitch,20,2.0,3,False,434304,9,0.1,0.9022151918164849,0.0001232304258383797,0.887186279656646,0.9161694343132921,0.6434997144650313,0.00424082713127453,0.157574778485482,0.001038457952326106,1.2413790185919036,1.0113849275236293,0.006607487524886215,0.10205116367852557,0.0006134214145020456,0.051025581839262785,0.0003067107072510184,0.0,0.0,121500,conformal,
dlinear_gaussian_conformal,gaussian,id,pitch,30,3.0,3,False,434304,9,0.1,0.9029619805481874,0.00019801797819040944,0.8889222180776599,0.9164463716659298,1.4244301464163052,0.0032620743336434026,0.34879671210532415,0.0007987761316906823,1.2413993725281671,2.167677738281307,0.005963716955993722,0.22343185349231345,0.0005289047685935685,0.11171592674615671,0.0002644523842968381,0.0,0.0,121500,conformal,
dlinear_gaussian_conformal,gaussian,id,pitch,50,5.0,3,False,434304,9,0.1,0.9005727171136654,3.5695475839516576e-05,0.8864270764257294,0.9138469251952549,1.7210761204585772,0.002911495797572075,0.42139580656104697,0.0007128633680595526,1.2415168463730468,2.611296755368899,0.0032404237858542485,0.27115710645704977,0.00042594554102135586,0.13557855322852486,0.0002129727705106296,0.0,0.0,121500,conformal,
dlinear_gaussian_conformal,gaussian,id,pitch,100,10.0,3,False,434304,9,0.1,0.9015543643776401,0.00019430627585005476,0.8888431260131152,0.9144399429892426,3.6682983595015437,0.0006888804871544757,0.8984033187694908,0.00016871378913112687,1.2411836658196425,5.35729633841833,0.0017650042173077223,0.5694231146857892,0.00016038322674642028,0.2847115573428946,8.01916133733353e-05,0.0,0.0,121500,conformal,
dlinear_gaussian_conformal,gaussian,id,pitch,150,15.0,3,False,434304,9,0.1,0.9032996856272718,3.896207923943909e-05,0.8911807167329796,0.9156116452991453,4.260242447996785,0.0010817377783737914,1.0439483724582637,0.00026507373863004434,1.2405036351372414,6.149392892709751,5.8368178248907273e-05,0.6518514725227679,1.7564538700879172e-05,0.325925736261384,8.782269350351185e-06,0.0,0.0,121500,conformal,
dlinear_gaussian_conformal,gaussian,id,pitch_rate,10,1.0,3,False,434304,9,0.1,0.9033326886236369,0.0002818419016510802,0.8822350243147657,0.9215320950302093,0.11814694621203943,0.002991437859442773,0.038884199764037314,0.0009845338456697576,0.923617350427682,0.25386674494221007,0.0020996574894105676,0.02123267263117291,0.0003152825725404805,0.010616336315586459,0.00015764128627023544,0.0,0.0,121500,conformal,
dlinear_gaussian_conformal,gaussian,id,pitch_rate,20,2.0,3,False,434304,9,0.1,0.9031277630415562,0.00019888621862411114,0.8842072027888299,0.9205767734121721,0.6887887669711601,0.004683769992124503,0.22666287250568617,0.0015413096314553043,0.9237371608217294,1.3244809049255757,0.008229936191615158,0.11729522929936143,0.000773608009615058,0.058647614649680685,0.00038680400480750474,0.0,0.0,121500,conformal,
