control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,asserted,passed
untrained,id,untrained,persistence,heave_imu,10,1.0,-2.394631170983395,0.0,-2.394631170983395,0.0,True,True
untrained,id,untrained,persistence,heave_imu,20,2.0,0.18179716084518505,0.0,0.18179716084518505,0.0,True,False
untrained,id,untrained,persistence,heave_imu,30,3.0,0.5966220151981345,0.0,0.5966220151981345,0.0,True,False
untrained,id,untrained,persistence,heave_imu,50,5.0,0.5342558420110239,0.0,0.5342558420110239,0.0,True,False
untrained,id,untrained,persistence,heave_imu,100,10.0,0.029839683544407136,0.0,0.029839683544407136,0.0,True,False
untrained,id,untrained,persistence,heave_imu,150,15.0,0.4813278421680769,0.0,0.4813278421680769,0.0,True,False
untrained,id,untrained,persistence,roll_rate_imu,10,1.0,-2.326855440541397,0.0,-2.326855440541397,0.0,True,True
untrained,id,untrained,persistence,roll_rate_imu,20,2.0,-0.12288279658991197,0.0,-0.12288279658991197,0.0,True,True
untrained,id,untrained,persistence,roll_rate_imu,30,3.0,0.22211834966961796,0.0,0.22211834966961796,0.0,True,False
untrained,id,untrained,persistence,roll_rate_imu,50,5.0,0.7088045866515758,0.0,0.7088045866515758,0.0,True,False
untrained,id,untrained,persistence,roll_rate_imu,100,10.0,-0.0791789841972863,0.0,-0.0791789841972863,0.0,True,True
untrained,id,untrained,persistence,roll_rate_imu,150,15.0,0.34488575698627044,0.0,0.34488575698627044,0.0,True,False
untrained,id,untrained,persistence,pitch_rate_imu,10,1.0,-1.238933752363184,0.0,-1.238933752363184,0.0,True,True
untrained,id,untrained,persistence,pitch_rate_imu,20,2.0,0.507663246161173,0.0,0.507663246161173,0.0,True,False
untrained,id,untrained,persistence,pitch_rate_imu,30,3.0,0.34991348403339617,0.0,0.34991348403339617,0.0,True,False
untrained,id,untrained,persistence,pitch_rate_imu,50,5.0,0.5980427854772568,0.0,0.5980427854772568,0.0,True,False
untrained,id,untrained,persistence,pitch_rate_imu,100,10.0,0.42027651016549106,0.0,0.42027651016549106,0.0,True,False
untrained,id,untrained,persistence,pitch_rate_imu,150,15.0,0.4584704772016157,0.0,0.4584704772016157,0.0,True,False
untrained,id,untrained,persistence,heave_rate_imu,10,1.0,-1.1705513155840355,0.0,-1.1705513155840355,0.0,True,True
untrained,id,untrained,persistence,heave_rate_imu,20,2.0,0.3363913324073833,0.0,0.3363913324073833,0.0,True,False
untrained,id,untrained,persistence,heave_rate_imu,30,3.0,0.3420833733443498,0.0,0.3420833733443498,0.0,True,False
untrained,id,untrained,persistence,heave_rate_imu,50,5.0,0.6225114780007452,0.0,0.6225114780007452,0.0,True,False
untrained,id,untrained,persistence,heave_rate_imu,100,10.0,-0.2428473019027355,0.0,-0.2428473019027355,0.0,True,True
