model,backend,device,batch_size,intra_op_threads,p50_ms_run1,p50_ms_run2,drift_frac,drift_pct,within_10pct,p99_ms_run1,p99_ms_run2,p99_drift_pct,p99_within_10pct,git_commit
lstm,ort-cpu,cpu,1,1,1.6251270062639378,1.7067659937310964,0.0502354506155438,5.02354506155438,True,1.9617380008276089,2.0429455007251818,4.139569089415289,True,7bd8d86-dirty
lstm,ort-cpu,cpu,32,1,22.85520999430446,22.098716493928805,-0.033099389616817,-3.309938961681706,True,26.209556901740143,27.81042292044731,6.107947664696607,True,7bd8d86-dirty
lstm,ort-cuda,cuda,1,1,8.151945999998134,8.03452049876796,-0.0144045975317058,-1.440459753170589,True,13.121637572621694,13.343380342994347,1.6899016540078808,True,7bd8d86-dirty
lstm,ort-cuda,cuda,32,1,8.581516500271391,8.36872449144721,-0.024796550681625,-2.4796550681625007,True,13.659806293580914,13.612637830810852,-0.3453084308540094,True,7bd8d86-dirty
lstm,ort-trt,cuda,1,1,4.293057005270384,4.0124430088326335,-0.0653646099022804,-6.536460990228039,True,9.11782566588954,9.6244605803804,5.556532149832792,True,7bd8d86-dirty
lstm,ort-trt,cuda,32,1,8.302058005938306,7.737537001958117,-0.0679977185869332,-6.79977185869333,True,13.25679315646994,12.95001555365161,-2.314116236086907,True,7bd8d86-dirty
lstm,torch-compile,cpu,1,1,2.2127595002530143,2.2482580097857863,0.016042642469149,1.6042642469149035,True,2.6870668469928205,2.730857317947084,1.629675532756874,True,7bd8d86-dirty
lstm,torch-compile,cpu,32,1,18.851526503567584,19.353661002242006,0.0266362778939623,2.6636277893962346,True,21.230565898586065,24.16857315984089,13.838572534001525,False,7bd8d86-dirty
lstm,torch-compile,cuda,1,1,1.3735389948124066,1.3766705087618902,0.0022798871828981636,0.22798871828981637,True,2.029209303436801,2.051513489423087,1.0991565014269453,True,7bd8d86-dirty
lstm,torch-compile,cuda,32,1,1.9472714920993894,1.9981790028396063,0.026142995954473967,2.6142995954473967,True,2.731107179133687,2.6995595518383197,-1.1551222718902738,True,7bd8d86-dirty
lstm,torch-eager,cpu,1,1,2.1617954917019238,2.15036600275198,-0.0052870352416847,-0.5287035241684774,True,2.5343242462258786,2.5020519352983683,-1.2734089166202889,True,7bd8d86-dirty
lstm,torch-eager,cpu,32,1,18.601053998281717,18.9278164980351,0.017566880875867,1.7566880875867072,True,20.9683503244014,22.437841735081747,7.008140306442057,True,7bd8d86-dirty
lstm,torch-eager,cuda,1,1,1.3002404957660474,1.2969275048817508,-0.002547983157796297,-0.2547983157796297,True,1.962410152045777,1.9170022808248177,-2.3138828126027815,True,7bd8d86-dirty
lstm,torch-eager,cuda,32,1,1.9113499947707169,1.9236070002079941,0.006412747780789144,0.6412747780789144,True,2.6321719109546393,2.667620882857591,1.3467574726186833,True,7bd8d86-dirty
lstm_quantile,ort-cpu,cpu,1,1,2.008047500567045,1.9786530028795823,-0.0146383477876704,-1.4638347787670418,True,2.407694468565751,2.33822641777806,-2.885251916081891,True,7bd8d86-dirty
lstm_quantile,ort-cpu,cpu,32,1,28.897409996716306,27.739884004404303,-0.0400563923356292,-4.005639233562924,True,34.26357683783863,33.50825869871187,-2.204434588663929,True,7bd8d86-dirty
lstm_quantile,ort-cuda,cuda,1,1,7.969194004544988,8.668188493174966,0.0877120682758291,8.771206827582914,True,13.011825060966656,13.289578481635544,2.134623078372777,True,7bd8d86-dirty
lstm_quantile,ort-cuda,cuda,32,1,9.857532000751236,9.63680499990005,-0.0223917103017634,-2.2391710301763434,True,14.7192658809945,14.947590470692374,1.5511954980899398,True,7bd8d86-dirty
lstm_quantile,ort-trt,cuda,1,1,4.241254006046802,4.245860000082757,0.0010859981574762,0.1085998157476232,True,9.979449137026675,9.143383501941573,-8.377873604095603,True,7bd8d86-dirty
lstm_quantile,ort-trt,cuda,32,1,8.039437503612135,8.708212000783533,0.0831867275379548,8.31867275379548,True,13.18211232079193,15.172084463993086,15.096003544609502,False,7bd8d86-dirty
lstm_quantile,torch-compile,cpu,1,1,2.4200664993259124,2.4540200029150583,0.0140299878530624,1.4029987853062418,True,2.8298460130463354,3.046040690678637,7.639803601877546,True,7bd8d86-dirty
lstm_quantile,torch-compile,cpu,32,1,19.54323450627271,20.12249850668013,0.0296401294382204,2.9640129438220484,True,21.97310902294703,22.39850244615809,1.9359728419260749,True,7bd8d86-dirty
lstm_quantile,torch-eager,cpu,1,1,2.5494170040474278,2.372022994677536,-0.069582186471755,-6.958218647175503,True,3.28039850879577,2.919170639506774,-11.011706910621728,False,7bd8d86-dirty
lstm_quantile,torch-eager,cpu,32,1,20.06297800835455,20.067621997441165,0.0002314705765356,0.0231470576535694,True,23.58068663830636,23.59201508603292,0.048041212286636,True,7bd8d86-dirty
tcn,ort-cpu,cpu,1,1,0.6889119977131486,0.6754190035280772,-0.0195859474502717,-1.958594745027172,True,0.8995764459541533,0.8527748266351409,-5.202628362436873,True,7bd8d86-dirty
tcn,ort-cpu,cpu,32,1,23.142455997003708,23.09575799881713,-0.0020178497127798,-0.2017849712779812,True,28.22973501955857,27.55695817919332,-2.383220529343032,True,7bd8d86-dirty
tcn,ort-cuda,cuda,1,1,0.7389149977825582,0.775241496739909,0.049161945645121,4.916194564512103,True,1.7662098337314092,1.7405730215250508,-1.4515156532786593,True,7bd8d86-dirty
