stage,log,start,end,hours
status_cheap,artifacts/logs/e04/status_cheap.txt,2026-09-04T14:08:42-04:00,2026-09-04T14:23:25-04:00,0.245
status_deep,artifacts/logs/e04/status_deep.txt,2026-09-04T16:09:49-04:00,2026-09-06T16:27:08-04:00,48.289
status_explicit,artifacts/logs/e04/status_explicit.txt,2026-09-04T15:54:33-04:00,2026-09-04T16:08:18-04:00,0.229
status_gate6,artifacts/logs/e04/status_gate6.txt,2026-09-07T07:42:25-04:00,2026-09-07T08:47:15-04:00,1.081
status_gate6_full,artifacts/logs/e04/status_gate6_full.txt,2026-09-08T06:59:03-04:00,2026-09-08T15:44:48-04:00,8.762
status_post,artifacts/logs/e04/status_post.txt,2026-09-06T16:30:22-04:00,2026-09-06T17:13:45-04:00,0.723
sweep_e01_ideal_and_imu,artifacts/logs/sweep_status.txt,Fri Aug 28 09:11:29 EDT 2026,Fri Aug 28 16:20:33 EDT 2026,7.151
