model,dof,horizon_samples,horizon_s,n_windows,rmse,mae,rmse_persistence,skill,n_realizations,skill_ci_lo,skill_ci_hi,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,regime
window_mean,roll,10,1.0,434304,4.11515587874688,2.0999541336155327,1.9446628367671026,-3.4779985814083254,384,-3.539042916679915,-3.4078745606715426,0,True,0,0.0,,,,id
window_mean,roll,20,2.0,434304,4.20803454325376,2.144202126348152,3.7444545258092843,-0.26293637240687096,384,-0.280918873495137,-0.24246984159794358,0,True,0,0.0,,,,id
window_mean,roll,30,3.0,434304,4.180459120687446,2.128860804124394,5.26736094690192,0.37011422155864127,384,0.36137505034515,0.3796199302865947,0,True,0,0.0,,,,id
window_mean,roll,50,5.0,434304,3.8177565785068985,1.9503654047389596,7.0875605548865055,0.7098497805055688,384,0.7068127035471251,0.7130312091701784,0,True,0,0.0,,,,id
window_mean,roll,100,10.0,434304,3.4256013416411144,1.7894984811136367,3.793711335438843,0.18464812238473027,384,0.1486312707503062,0.21822543792521265,0,True,0,0.0,,,,id
window_mean,roll,150,15.0,434304,4.108069822062995,2.0842206077805234,5.251935256462554,0.3881613535715862,384,0.3667396065883165,0.40849184809737843,0,True,0,0.0,,,,id
window_mean,pitch,10,1.0,434304,1.3063155448695067,0.8209531764064455,0.8963189522817477,-1.1240807878543508,384,-1.2187911642767641,-1.0343876270738737,0,True,0,0.0,,,,id
window_mean,pitch,20,2.0,434304,1.3348954536647948,0.838332894319717,1.6396866224861668,0.33721480160150297,384,0.31031983292936105,0.36267034019785777,0,True,0,0.0,,,,id
window_mean,pitch,30,3.0,434304,1.3257841358739548,0.8311854037390853,2.1223575061775537,0.6097808731771663,384,0.596937666725327,0.6223769185466039,0,True,0,0.0,,,,id
window_mean,pitch,50,5.0,434304,1.243757032777806,0.7791457294531832,2.2343246831224586,0.690130713374352,384,0.6843662784341507,0.6951364523020974,0,True,0,0.0,,,,id
window_mean,pitch,100,10.0,434304,1.2418269235570727,0.7806006988532016,1.5591545468409598,0.36562828355867194,384,0.33535308557828625,0.39708504225794966,0,True,0,0.0,,,,id
window_mean,pitch,150,15.0,434304,1.2592484253572214,0.7917052680175864,1.785131912400982,0.5023978991733826,384,0.48296941043722696,0.5199959943509117,0,True,0,0.0,,,,id
window_mean,heave,10,1.0,434304,0.8067379415576311,0.512412559790591,0.44174333995484594,-2.33522351662287,384,-2.458178978627327,-2.204644097227873,0,True,0,0.0,,,,id
window_mean,heave,20,2.0,434304,0.8300759861119058,0.5267840285938438,0.8382135080550518,0.01932209784014849,384,-0.015623054271377586,0.05659256405096782,0,True,0,0.0,,,,id
window_mean,heave,30,3.0,434304,0.8344950691168578,0.5285658454418716,1.1513183823181896,0.47464040061923085,384,0.45702513024982394,0.4929106658384445,0,True,0,0.0,,,,id
window_mean,heave,50,5.0,434304,0.7927022123024386,0.5006232730354992,1.4421558821616272,0.6978686931954982,384,0.6915978254772672,0.70437302453727,0,True,0,0.0,,,,id
window_mean,heave,100,10.0,434304,0.7312591334768717,0.47197026081317234,0.8335183990732865,0.23031641368746636,384,0.16251744340234864,0.2856873079400718,0,True,0,0.0,,,,id
window_mean,heave,150,15.0,434304,0.7896312294003149,0.49963608325763376,1.106452908012778,0.4906893436825678,384,0.46184217114088794,0.5184511643874847,0,True,0,0.0,,,,id
window_mean,roll_rate,10,1.0,434304,2.1917490514812266,1.158797574917205,1.067513758350997,-3.2153602172295495,384,-3.2957465188659216,-3.125100591679301,0,True,0,0.0,,,,id
window_mean,roll_rate,20,2.0,434304,2.2360599822805876,1.1811533032589767,2.0483978110523133,-0.19162139589236005,384,-0.2139462441894909,-0.16725710089271853,0,True,0,0.0,,,,id
window_mean,roll_rate,30,3.0,434304,2.2172531569458296,1.170866590925952,2.8659956780901075,0.4014788502334642,384,0.39145949510567624,0.4121335645055581,0,True,0,0.0,,,,id
window_mean,roll_rate,50,5.0,434304,2.023005276687659,1.0731245463194665,3.798345550151574,0.7163354349090508,384,0.7137183161814064,0.7189212308246694,0,True,0,0.0,,,,id
window_mean,roll_rate,100,10.0,434304,1.8543065477163936,1.005137748272637,1.958738621708589,0.103789370927999,384,0.06392221718175421,0.1414040727181663,0,True,0,0.0,,,,id
window_mean,roll_rate,150,15.0,434304,2.177101318188682,1.1441669646696426,2.8980935747304644,0.43567086369580277,384,0.41609272419244514,0.45428032806761287,0,True,0,0.0,,,,id
window_mean,pitch_rate,10,1.0,434304,0.9671167338004204,0.6120518724358986,0.7528444431836472,-0.6502407129142918,384,-0.7131157552421232,-0.590609826979125,0,True,0,0.0,,,,id
window_mean,pitch_rate,20,2.0,434304,0.9828175607561425,0.6223306056584392,1.3414123591158549,0.46318924454691235,384,0.44596268983535325,0.4787804981069199,0,True,0,0.0,,,,id
window_mean,pitch_rate,30,3.0,434304,0.9680853518457382,0.6130544939063394,1.664055642972382,0.6615522671408269,384,0.6544640787132664,0.6682856517320508,0,True,0,0.0,,,,id
window_mean,pitch_rate,50,5.0,434304,0.9081813983371277,0.5749807502762615,1.549273352583568,0.656371558512514,384,0.6461940419578381,0.6648677724595233,0,True,0,0.0,,,,id
window_mean,pitch_rate,100,10.0,434304,0.9346575595244545,0.5885749512384881,1.2730898977022085,0.4610023124102339,384,0.4392257323975654,0.4826954357150151,0,True,0,0.0,,,,id
window_mean,pitch_rate,150,15.0,434304,0.9288778251007184,0.5885323138500119,1.3079980284130317,0.49568369253211775,384,0.48280416308048874,0.5089226656928855,0,True,0,0.0,,,,id
window_mean,heave_rate,10,1.0,434304,0.47489582651676115,0.3145375869066748,0.2852226587419099,-1.7722261641405654,384,-1.8750789050658903,-1.6630914576581906,0,True,0,0.0,,,,id
window_mean,heave_rate,20,2.0,434304,0.4868122053418252,0.3225558870682488,0.5351982235990471,0.17264177238064837,384,0.14465213164521865,0.2029074632944761,0,True,0,0.0,,,,id
window_mean,heave_rate,30,3.0,434304,0.4869310792955682,0.3223486892840842,0.7216245802205107,0.5446845844030395,384,0.5312534564527297,0.5583747236797285,0,True,0,0.0,,,,id
window_mean,heave_rate,50,5.0,434304,0.4588787413281471,0.3034917192010369,0.8524864976952896,0.7102517252385939,384,0.706291591768079,0.714111891109605,0,True,0,0.0,,,,id
window_mean,heave_rate,100,10.0,434304,0.4424093703898694,0.2952808521335525,0.47861232963563727,0.14556138168491783,384,0.091286914879887,0.198118531571665,0,True,0,0.0,,,,id
window_mean,heave_rate,150,15.0,434304,0.4615699092579569,0.3049234760361569,0.6814233587032514,0.5411814761079022,384,0.5215455972803856,0.5586708180420095,0,True,0,0.0,,,,id
damped_persistence,roll,10,1.0,434304,2.4892212450591646,1.289247944184224,1.9446628367671026,-0.6384695263285793,384,-0.6561008706383746,-0.6187590093863031,0,True,6,0.14750845600065077,,,,id
damped_persistence,roll,20,2.0,434304,3.690807634570473,1.9045603633863442,3.7444545258092843,0.02844878511016624,384,0.017647438325516365,0.040565184628654063,0,True,6,0.14750845600065077,,,,id
damped_persistence,roll,30,3.0,434304,4.130652385975844,2.1220103797737155,5.26736094690192,0.38503395351498615,384,0.37800528963059643,0.3925309580421404,0,True,6,0.14750845600065077,,,,id
damped_persistence,roll,50,5.0,434304,3.925974184606597,2.0078165221459683,7.0875605548865055,0.69316753137732,384,0.690262007361247,0.696198918591054,0,True,6,0.14750845600065077,,,,id
damped_persistence,roll,100,10.0,434304,3.4226344706069405,1.7879017940044155,3.793711335438843,0.1860598431748567,384,0.15015550815454584,0.21951984880415065,0,True,6,0.14750845600065077,,,,id
damped_persistence,roll,150,15.0,434304,4.108033531196612,2.0842126932471055,5.251935256462554,0.38817216354193784,384,0.3667529897896048,0.408500555470391,0,True,6,0.14750845600065077,,,,id
damped_persistence,pitch,10,1.0,434304,0.9893440253231025,0.6256358767755112,0.8963189522817477,-0.2183428300377217,384,-0.255785094274819,-0.18268882434778547,0,True,6,0.14750845600065077,,,,id
damped_persistence,pitch,20,2.0,434304,1.3107640531193587,0.8266969902765591,1.6396866224861668,0.3609610371651497,384,0.34086348641676395,0.37986386915025705,0,True,6,0.14750845600065077,,,,id
damped_persistence,pitch,30,3.0,434304,1.3548671586854772,0.8511329815141471,2.1223575061775537,0.592473036662897,384,0.5809735466908174,0.6037989720278992,0,True,6,0.14750845600065077,,,,id
damped_persistence,pitch,50,5.0,434304,1.2509263092557188,0.7833526822249735,2.2343246831224586,0.6865481144641659,384,0.6808801394835121,0.6914604630818076,0,True,6,0.14750845600065077,,,,id
damped_persistence,pitch,100,10.0,434304,1.2418029377103632,0.7805882180134781,1.5591545468409598,0.36565278906022125,384,0.33538258198520887,0.397103626923048,0,True,6,0.14750845600065077,,,,id
damped_persistence,pitch,150,15.0,434304,1.2592484387053677,0.7917052666211138,1.785131912400982,0.5023978886241287,384,0.4829694311658592,0.5199959544730369,0,True,6,0.14750845600065077,,,,id
damped_persistence,heave,10,1.0,434304,0.5340943972091076,0.3454444207132053,0.44174333995484594,-0.46182714886613674,384,-0.5000793873159017,-0.421369454613278,0,True,6,0.14750845600065077,,,,id
damped_persistence,heave,20,2.0,434304,0.7666348791696123,0.4933679879857042,0.8382135080550518,0.1634963548560603,384,0.14109556604897774,0.18771620443074435,0,True,6,0.14750845600065077,,,,id
damped_persistence,heave,30,3.0,434304,0.8410597012862076,0.5373894137322743,1.1513183823181896,0.4663423104892308,384,0.4515875737906873,0.4814994069971563,0,True,6,0.14750845600065077,,,,id
damped_persistence,heave,50,5.0,434304,0.8062821645622597,0.5094290741734202,1.4421558821616272,0.6874282712160603,384,0.6813001910703798,0.6937342874188245,0,True,6,0.14750845600065077,,,,id
damped_persistence,heave,100,10.0,434304,0.7310763301829194,0.47185839004686486,0.8335183990732865,0.2307011831951743,384,0.1629824522047909,0.286006576920424,0,True,6,0.14750845600065077,,,,id
damped_persistence,heave,150,15.0,434304,0.7896313063654334,0.49963638298715213,1.106452908012778,0.4906892443978499,384,0.46184284717500357,0.5184502809954734,0,True,6,0.14750845600065077,,,,id
damped_persistence,roll_rate,10,1.0,434304,1.3494520374172496,0.7278013081580825,1.067513758350997,-0.5979675089866161,384,-0.6209274499729444,-0.5731235324848601,0,True,6,0.14750845600065077,,,,id
damped_persistence,roll_rate,20,2.0,434304,1.9828566475499567,1.0642180527723495,2.0483978110523133,0.06296884871443376,384,0.04953263199787661,0.07733404653007088,0,True,6,0.14750845600065077,,,,id
damped_persistence,roll_rate,30,3.0,434304,2.202343374958143,1.1750392827740477,2.8659956780901075,0.4095012233145746,384,0.4015458799355494,0.4179129374532517,0,True,6,0.14750845600065077,,,,id
