model,dof,horizon_samples,horizon_s,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,n_realizations,skill_ci_lo,skill_ci_hi,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,regime
persistence,roll,10,1.0,434304,1.9446628367671026,1.0377724380721711,1.9446628367671026,0.0,3.682816873957597,0.5280367999067371,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,roll,20,2.0,434304,3.7444545258092843,1.9893467593938703,3.7444545258092843,0.0,3.683691963859013,1.0164950171041491,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,roll,30,3.0,434304,5.26736094690192,2.7778542667166164,5.26736094690192,0.0,3.6845301229084004,1.4295882436005447,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,roll,50,5.0,434304,7.0875605548865055,3.6512930748556176,7.0875605548865055,0.0,3.685983647312865,1.922841019670133,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,roll,100,10.0,434304,3.793711335438843,1.8813973293221398,3.793711335438843,0.0,3.6900743810329235,1.0280853293740138,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,roll,150,15.0,434304,5.251935256462554,2.7772202327352713,5.251935256462554,0.0,3.6937274583324062,1.4218524013229785,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,pitch,10,1.0,434304,0.8963189522817477,0.566439951063036,0.8963189522817477,0.0,1.2413165389175655,0.7220712237213422,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,pitch,20,2.0,434304,1.6396866224861668,1.0364395185752229,1.6396866224861668,0.0,1.2413790185919036,1.3208589785463456,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,pitch,30,3.0,434304,2.1223575061775537,1.3392454379687988,2.1223575061775537,0.0,1.2413993725281671,1.7096492499873548,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,pitch,50,5.0,434304,2.2343246831224586,1.3769632072350333,2.2343246831224586,0.0,1.2415168463730468,1.7996732703626126,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,pitch,100,10.0,434304,1.5591545468409598,0.983825040124923,1.5591545468409598,0.0,1.2411836658196425,1.2561835848938105,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,pitch,150,15.0,434304,1.785131912400982,1.101074990896007,1.785131912400982,0.0,1.2405036351372414,1.439038034099341,384,0.0,0.0,0,True,0,0.0,,,,id
