source_experiment,model,dof,horizon_samples,horizon_s,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,n_realizations,skill_ci_lo,skill_ci_hi,regime,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,val_loss_name,matched_n_samples,matched_lookback,matched_stride,matched_max_horizon,matched_lookbacks,matched_n_origins,matched_origin_first,matched_origin_last,matched_origin_stride,matched_windows_before
deep,persistence,roll_rate,50,5.0,418944,3.8003090696362802,2.022969933878058,3.8003090696362802,0.0,1.9722164496629107,1.9269229147164986,384,0.0,0.0,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,persistence,roll_rate,100,10.0,418944,1.9637399394759982,1.031916959080427,1.9637399394759982,0.0,1.9739519724102126,0.9948266051672243,384,0.0,0.0,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,persistence,roll_rate,150,15.0,418944,2.896430496995325,1.5734262672939539,2.896430496995325,0.0,1.975553636862926,1.4661360962057717,384,0.0,0.0,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,persistence,pitch_rate,10,1.0,418944,0.7531298125402182,0.466492717296948,0.7531298125402182,0.0,0.9234044534650131,0.8156012348805003,384,0.0,0.0,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,persistence,pitch_rate,20,2.0,418944,1.3418810460639456,0.835652117484951,1.3418810460639456,0.0,0.9235131941570501,1.4530177311530095,384,0.0,0.0,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,persistence,pitch_rate,30,3.0,418944,1.6644452321714636,1.043156818645569,1.6644452321714636,0.0,0.9236561249822394,1.8020182913889826,384,0.0,0.0,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,persistence,pitch_rate,50,5.0,418944,1.5485057653903693,0.9687776593402794,1.5485057653903693,0.0,0.9236585535052279,1.6764915557961158,384,0.0,0.0,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,persistence,pitch_rate,100,10.0,418944,1.274579834785688,0.7936618316724168,1.274579834785688,0.0,0.9237886815931622,1.37973094949329,384,0.0,0.0,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,persistence,pitch_rate,150,15.0,418944,1.3066658062650982,0.8170022400766415,1.3066658062650982,0.0,0.923677262965375,1.4146345900841775,384,0.0,0.0,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,persistence,heave_rate,10,1.0,418944,0.28518621353692575,0.19351981079134054,0.28518621353692575,0.0,0.4494429055050756,0.6345326848945113,384,0.0,0.0,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,persistence,heave_rate,20,2.0,418944,0.5351005334490926,0.36220893214899147,0.5351005334490926,0.0,0.4494530144731941,1.1905594494149436,384,0.0,0.0,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,persistence,heave_rate,30,3.0,418944,0.7214322878430781,0.48584774838970923,0.7214322878430781,0.0,0.4494430721740169,1.6051694474973495,384,0.0,0.0,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,persistence,heave_rate,50,5.0,418944,0.8521061512079104,0.5594398873581867,0.8521061512079104,0.0,0.44946461013569566,1.8958247924139238,384,0.0,0.0,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,persistence,heave_rate,100,10.0,418944,0.47926486717836025,0.3222884401589012,0.47926486717836025,0.0,0.44945174911641034,1.066332188317345,384,0.0,0.0,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,persistence,heave_rate,150,15.0,418944,0.6809671010495266,0.43917276994018206,0.6809671010495266,0.0,0.44946344226262147,1.515066715151524,384,0.0,0.0,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,roll,10,1.0,418944,4.119787077808434,2.102586776680775,1.9461019982798347,-3.4814478289911293,3.687222002970601,1.117314627242227,384,-3.5447873687363076,-3.410539224632216,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,roll,20,2.0,418944,4.212719732020422,2.1465824712500323,3.747341945419572,-0.26380039037198744,3.6877754460978944,1.142347139514143,384,-0.2826015163275311,-0.24297481577584865,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,roll,30,3.0,418944,4.185329082855374,2.1312508888131743,5.271807875224931,0.36971049828345215,3.688478647638728,1.134703351349131,384,0.3606790384546864,0.3793312746769118,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,roll,50,5.0,418944,3.823178381469256,1.952973146319016,7.095209199845273,0.7096520837910858,3.69030276033271,1.0360066991155399,384,0.7065592128271302,0.7128730212429529,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,roll,100,10.0,418944,3.4278847320261585,1.7910829796850316,3.8042041036484933,0.1880583873603806,3.694076084821685,0.9279410205195122,384,0.152023017354254,0.22129130099503375,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,roll,150,15.0,418944,4.112359166424689,2.0861626071856305,5.250462508623207,0.386539007457267,3.6967972023470375,1.1124113499690538,384,0.3647698559276022,0.4069718807371216,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,pitch,10,1.0,418944,1.3052265393801987,0.8209181851503538,0.8961445522125455,-1.1213662423644926,1.2403442750018743,1.0523098833815525,384,-1.2153265273918028,-1.0331189857888985,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,pitch,20,2.0,418944,1.3337707526998115,0.838292157479181,1.6391044953318454,0.33786110918228085,1.240393189409016,1.0752806159273456,384,0.31067133276722697,0.3632717771299544,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,pitch,30,3.0,418944,1.3245413208101837,0.8310962457388524,2.1211392967275144,0.6100646191970751,1.2402854523142828,1.0679326427143732,384,0.5972169159362016,0.622521370890832,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,pitch,50,5.0,418944,1.2423624747992248,0.7789409309878338,2.2310378683549135,0.6899135659490918,1.240068055500173,1.0018502365969957,384,0.6840489017236282,0.6950048155983074,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,pitch,100,10.0,418944,1.2407726570787339,0.7804804881324,1.5609168249297358,0.36813411940898355,1.2401273775213297,1.0005203332892254,384,0.3376283332005602,0.3992821115527614,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,pitch,150,15.0,418944,1.2592360596454275,0.7922033901312112,1.7818458998404407,0.500570697906516,1.2404643096284043,1.0151328416878407,384,0.4809170991421095,0.5189061266547826,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,heave,10,1.0,418944,0.8061800170107504,0.5124072882952362,0.44162565007972127,-2.332387360102489,0.7586744785454769,1.0626164973367112,384,-2.4558252089016417,-2.2011838960618273,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,heave,20,2.0,418944,0.8296495979287982,0.5268455266185966,0.8379625081057451,0.01974235473495578,0.7587896097620423,1.0933855541181932,384,-0.016036136879272647,0.058011680646482926,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,heave,30,3.0,418944,0.8342652350744832,0.5287198854203017,1.1508797208863502,0.47452940594554616,0.758921162789381,1.099277864393949,384,0.4568595926219197,0.4932669533406897,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,heave,50,5.0,418944,0.7925986837756682,0.5008509218630194,1.441163548726843,0.6975314979134926,0.7589656362018378,1.0443143219792446,384,0.6912777789545699,0.7039346412050884,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,heave,100,10.0,418944,0.731209341769771,0.47220932103574265,0.834510527562901,0.23225000399835816,0.7592839391596414,0.9630249028829153,384,0.16388811974677447,0.2886196125126319,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,heave,150,15.0,418944,0.7904543049784192,0.5002918336880144,1.1055277079321404,0.48877242100763485,0.759468366891061,1.0407995111293462,384,0.45975001541004684,0.5170082616477202,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,roll_rate,10,1.0,418944,2.1933252368412592,1.1598942158236563,1.0679896361750225,-3.2176641567178343,1.9709759416747037,1.112811775357151,384,-3.2981876884115238,-3.126777425312304,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,roll_rate,20,2.0,418944,2.237842040249015,1.1823150023435407,2.04926284907427,-0.19251410038866323,1.9713738906856482,1.1351687525245089,384,-0.21455349041202867,-0.16823462967636857,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,roll_rate,30,3.0,418944,2.2191647905768583,1.1720727156009614,2.8671756232230625,0.4009397336740803,1.971717923838755,1.1254981068774517,384,0.39106388288097554,0.4117340573215369,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,roll_rate,50,5.0,418944,2.0246411674355493,1.0740499180640408,3.8003090696362802,0.7161700046268638,1.9722164496629107,1.0265816248422424,384,0.7134978247427607,0.718786679973703,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,roll_rate,100,10.0,418944,1.8546920021717437,1.0056575471501026,1.9637399394759982,0.10797782201085704,1.9739519724102126,0.9395831449268487,384,0.06944540890173931,0.14546365634098415,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,roll_rate,150,15.0,418944,2.1791640051113306,1.1452140240967097,2.896430496995325,0.43395154380398826,1.975553636862926,1.103064965915948,384,0.41389416336105966,0.45280585347694513,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,pitch_rate,10,1.0,418944,0.96682766753921,0.6120235092432764,0.7531298125402182,-0.6480047580061301,0.9234044534650131,1.047025129574862,384,-0.7104654060780093,-0.5904309104637288,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,pitch_rate,20,2.0,418944,0.9825067754844624,0.6222800343716562,1.3418810460639456,0.46390337778923296,0.9235131941570501,1.0638795219176695,384,0.4470640194792772,0.47949247480781343,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,pitch_rate,30,3.0,418944,0.9677700354208673,0.6129573104285474,1.6644452321714636,0.6619310199475876,0.9236561249822394,1.0477601016714702,384,0.6550122435383268,0.6685291853902483,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,pitch_rate,50,5.0,418944,0.9080051073765338,0.5749304644259061,1.5485057653903693,0.6561643296903679,0.9236585535052279,0.9830527784652779,384,0.6459784471071096,0.6647834936856741,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,pitch_rate,100,10.0,418944,0.9348255055900918,0.5887078727794274,1.274579834785688,0.46206844613065845,0.9237886815931622,1.0119473470684828,384,0.4402072975304868,0.4839200504255737,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,pitch_rate,150,15.0,418944,0.9291777050374875,0.5888472624667817,1.3066658062650982,0.4943284633394589,0.923677262965375,1.0059549393415335,384,0.48055422050227464,0.5076482493383594,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,heave_rate,10,1.0,418944,0.4747367165862271,0.3146000018577614,0.28518621353692575,-1.771076972870953,0.4494429055050756,1.056278140718957,384,-1.8727233500861502,-1.6624452369024043,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,heave_rate,20,2.0,418944,0.4866271131482528,0.3226089646360583,0.5351005334490926,0.1729689073149161,0.4494530144731941,1.0827096436735009,384,0.1447001579413224,0.20316384655105324,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,heave_rate,30,3.0,418944,0.4867210372341251,0.322381112585672,0.7214322878430781,0.544834763610516,0.4494430721740169,1.0829425735272535,384,0.5313047424065731,0.5585762862504873,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,heave_rate,50,5.0,418944,0.4588159544188129,0.30359637926182115,0.8521061512079104,0.7100723591964377,0.44946461013569566,1.0208055185485994,384,0.706033654841605,0.7139141349976247,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,heave_rate,100,10.0,418944,0.4424295208145701,0.2953925642921338,0.47926486717836025,0.14780887558119793,0.44945174911641034,0.9843760129632482,384,0.09285886117056215,0.20135167279784627,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,window_mean,heave_rate,150,15.0,418944,0.46189259918310077,0.3052535006730289,0.6809671010495266,0.5399238229476357,0.44946344226262147,1.0276533211642538,384,0.5198782946974949,0.5582288924903662,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,damped_persistence,roll,10,1.0,418944,2.4916723746632945,1.2905994801880978,1.9461019982798347,-0.6392707026878639,3.687222002970601,0.6757587074105885,384,-0.6572002913672053,-0.6193640974851484,id,0,True,6,0.12776377497357316,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,damped_persistence,roll,20,2.0,418944,3.694524960012077,1.9064810841420978,3.747341945419572,0.02799038419601274,3.6877754460978944,1.0018302399408088,384,0.016770754408448465,0.040238202321211794,id,0,True,6,0.12776377497357316,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,damped_persistence,roll,30,3.0,418944,4.135157317459517,2.124325756976008,5.271807875224931,0.38473115596979146,3.688478647638728,1.1211010588625046,384,0.37748855417572624,0.3922607279482692,id,0,True,6,0.12776377497357316,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,damped_persistence,roll,50,5.0,418944,3.9314150886330963,2.0104694561969896,7.095209199845273,0.6929794889502647,3.69030276033271,1.0653367335851458,384,0.690035208844199,0.6960831793574155,id,0,True,6,0.12776377497357316,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,damped_persistence,roll,100,10.0,418944,3.4249265621685914,1.7894873877182744,3.8042041036484933,0.18945914906758743,3.694076084821685,0.927140233045285,384,0.15354739787833757,0.22257656991082125,id,0,True,6,0.12776377497357316,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
