control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,passed
untrained,id,untrained,persistence,heave,150,15.0,0.5041590536929057,0.0,0.5041590536929057,0.0,False
untrained,id,untrained,persistence,roll_rate,10,1.0,-4.079091466498511,0.0,-4.079091466498511,0.0,True
untrained,id,untrained,persistence,roll_rate,20,2.0,-0.046612827531045786,0.0,-0.046612827531045786,0.0,True
untrained,id,untrained,persistence,roll_rate,30,3.0,0.3761043006639545,0.0,0.3761043006639545,0.0,False
untrained,id,untrained,persistence,roll_rate,50,5.0,0.8064515154373537,0.0,0.8064515154373537,0.0,False
untrained,id,untrained,persistence,roll_rate,100,10.0,0.23701524563352905,0.0,0.23701524563352905,0.0,False
untrained,id,untrained,persistence,roll_rate,150,15.0,0.4922609871761249,0.0,0.4922609871761249,0.0,False
untrained,id,untrained,persistence,pitch_rate,10,1.0,-0.4964470855707803,0.0,-0.4964470855707803,0.0,True
untrained,id,untrained,persistence,pitch_rate,20,2.0,0.44063143510388414,0.0,0.44063143510388414,0.0,False
untrained,id,untrained,persistence,pitch_rate,30,3.0,0.6477763581658011,0.0,0.6477763581658011,0.0,False
untrained,id,untrained,persistence,pitch_rate,50,5.0,0.6409170628324703,0.0,0.6409170628324703,0.0,False
untrained,id,untrained,persistence,pitch_rate,100,10.0,0.42541293696136884,0.0,0.42541293696136884,0.0,False
untrained,id,untrained,persistence,pitch_rate,150,15.0,0.46232229415452786,0.0,0.46232229415452786,0.0,False
untrained,id,untrained,persistence,heave_rate,10,1.0,-1.848839568117294,0.0,-1.848839568117294,0.0,True
untrained,id,untrained,persistence,heave_rate,20,2.0,0.1801136309055722,0.0,0.1801136309055722,0.0,False
untrained,id,untrained,persistence,heave_rate,30,3.0,0.5294857069081076,0.0,0.5294857069081076,0.0,False
untrained,id,untrained,persistence,heave_rate,50,5.0,0.7331541818122724,0.0,0.7331541818122724,0.0,False
untrained,id,untrained,persistence,heave_rate,100,10.0,0.11052947179522377,0.0,0.11052947179522377,0.0,False
untrained,id,untrained,persistence,heave_rate,150,15.0,0.5391416219941616,0.0,0.5391416219941616,0.0,False
shuffle,unseen_seastate,shuffled,window_mean,roll,10,1.0,-3.6617801185003804,-3.6361585721576795,-0.005526460310605108,0.02,True
shuffle,unseen_seastate,shuffled,window_mean,roll,20,2.0,-0.30987782564547106,-0.304777021787743,-0.003909329925767091,0.02,True
shuffle,unseen_seastate,shuffled,window_mean,roll,30,3.0,0.3526161116809887,0.35272409535263494,-0.0001668278872593021,0.02,True
shuffle,unseen_seastate,shuffled,window_mean,roll,50,5.0,0.7081800251248935,0.7076553205777212,0.001794814765260111,0.02,True
shuffle,unseen_seastate,shuffled,window_mean,roll,100,10.0,0.22638463783825558,0.22341186946691183,0.003827985845345161,0.02,True
shuffle,unseen_seastate,shuffled,window_mean,roll,150,15.0,0.3613597106306955,0.3598155413360776,0.002412069324270405,0.02,True
shuffle,unseen_seastate,shuffled,window_mean,pitch,10,1.0,-1.402347771542476,-1.4106808001695277,0.003456711741540275,0.02,True
shuffle,unseen_seastate,shuffled,window_mean,pitch,20,2.0,0.26191651791143455,0.2590736834967171,0.003836865220463337,0.02,True
shuffle,unseen_seastate,shuffled,window_mean,pitch,30,3.0,0.5754564066069887,0.5745014612642354,0.002244297584641841,0.02,True
shuffle,unseen_seastate,shuffled,window_mean,pitch,50,5.0,0.6963191292900262,0.6952712209283369,0.003438823090098686,0.02,True
shuffle,unseen_seastate,shuffled,window_mean,pitch,100,10.0,0.3094143510469082,0.30815081565911107,0.0018263162209273265,0.02,True
shuffle,unseen_seastate,shuffled,window_mean,pitch,150,15.0,0.5110601193915537,0.5108980121482962,0.00033143852874018,0.02,True
shuffle,unseen_seastate,shuffled,window_mean,heave,10,1.0,-2.7026524454816134,-2.720246036516437,0.004729147175249082,0.02,True
shuffle,unseen_seastate,shuffled,window_mean,heave,20,2.0,-0.07607882927184151,-0.08301841259252751,0.006407631892493937,0.02,True
shuffle,unseen_seastate,shuffled,window_mean,heave,30,3.0,0.43203077429156966,0.4297969449014116,0.003917603334783637,0.02,True
shuffle,unseen_seastate,shuffled,window_mean,heave,50,5.0,0.6909139716257264,0.6909915525766708,-0.0002510641750776976,0.02,True
shuffle,unseen_seastate,shuffled,window_mean,heave,100,10.0,0.2854674785809136,0.2867089129907052,-0.0017404316868681047,0.02,True
shuffle,unseen_seastate,shuffled,window_mean,heave,150,15.0,0.45303964236745486,0.45414789330962113,-0.002030313575019038,0.02,True
shuffle,unseen_seastate,shuffled,window_mean,roll_rate,10,1.0,-3.4468124498845762,-3.450161018503483,0.0007524601031251299,0.02,True
shuffle,unseen_seastate,shuffled,window_mean,roll_rate,20,2.0,-0.25152040803299003,-0.25153185018445035,9.142517194971056e-06,0.02,True
shuffle,unseen_seastate,shuffled,window_mean,roll_rate,30,3.0,0.3755699982089964,0.37752694710436674,-0.0031438290963230475,0.02,True
shuffle,unseen_seastate,shuffled,window_mean,roll_rate,50,5.0,0.7138980937621802,0.7143720025464866,-0.001659181832773804,0.02,True
shuffle,unseen_seastate,shuffled,window_mean,roll_rate,100,10.0,0.14694562104163422,0.1483350769801881,-0.001631458453903667,0.02,True
shuffle,unseen_seastate,shuffled,window_mean,roll_rate,150,15.0,0.4035319058307367,0.40502299403711906,-0.002506127449361184,0.02,True
