reading,model,head,regime,dof,horizon_samples,horizon_s,n_seeds,picp_mean,picp_std,picp_ci_lo,picp_ci_hi,band_lo,band_hi,verdict,mean_interval_width_mean,width_ratio_mean,crossing_rate_mean,n_params
B,lstm_gaussian,gaussian,id,roll_rate,10,1.0,3,0.9925520679831024,0.0011975157731507,0.9900138497458002,0.9945085124705276,0.85,0.95,FAIL,0.0786725754018515,0.0121422587385902,0.0,433928
B,lstm_gaussian,gaussian,id,roll_rate,20,2.0,3,0.9651956540426369,0.0267199611433283,0.9239671980916592,0.98630250930224,0.85,0.95,FAIL,0.0882361250491231,0.0136158911114719,0.0,433928
B,lstm_gaussian,gaussian,id,roll_rate,30,3.0,3,0.9669371377345516,0.0012822954344404,0.9627126390730916,0.970841564894636,0.85,0.95,FAIL,0.1038194155699915,0.0160176685220532,0.0,433928
B,lstm_gaussian,gaussian,id,roll_rate,50,5.0,3,0.9491201247666764,0.0086541370820644,0.9329902556734452,0.9584882939139404,0.85,0.95,PASS,0.1675288163255758,0.0258357135105712,0.0,433928
B,lstm_gaussian,gaussian,id,roll_rate,100,10.0,3,0.9171962496315944,0.0033776864573404,0.9099861502541998,0.9230038751657824,0.85,0.95,PASS,0.6533861540084809,0.1006805840348285,0.0,433928
B,lstm_gaussian,gaussian,id,roll_rate,150,15.0,3,0.9075202316042832,0.0021823805762031,0.9022175135389036,0.9124088196286472,0.85,0.95,PASS,1.2816420265262682,0.1973486481488114,0.0,433928
B,lstm_quantile,quantile,id,heave,10,1.0,3,0.9922673212005108,0.0017726471263409,0.9894197382478632,0.9947756064876216,0.85,0.95,FAIL,0.0520269597572923,0.020831382942383,0.0226745935258866,1246628
B,lstm_quantile,quantile,id,heave,20,2.0,3,0.9855201272227134,0.0082086859050224,0.9742274420682286,0.9933180445033892,0.85,0.95,FAIL,0.0502746051867032,0.0201286656647013,0.050324196875921,1246628
B,lstm_quantile,quantile,id,heave,30,3.0,3,0.950152427792514,0.0592698382934381,0.8579965300803124,0.9882042302166224,0.85,0.95,FAIL,0.057540683699492,0.023037738492154,0.025204311572846,1246628
B,lstm_quantile,quantile,id,heave,50,5.0,3,0.9302930666077218,0.0301556852935491,0.888003679450339,0.9524713104185086,0.85,0.95,PASS,0.131396480656112,0.0526026354114931,0.0252265694076038,1246628
B,lstm_quantile,quantile,id,heave,100,10.0,3,0.9171801318891836,0.0013530854108622,0.911909399867374,0.9213225643788682,0.85,0.95,PASS,0.4602181055715102,0.184284527537229,0.016711796345417,1246628
B,lstm_quantile,quantile,id,heave,150,15.0,3,0.9083092334708714,0.0005570865046325,0.90484269083407,0.9129443316202476,0.85,0.95,PASS,0.962114381264522,0.3854774171289448,0.0008289124668435,1246628
B,lstm_quantile,quantile,id,heave_rate,10,1.0,3,0.9862600083505256,0.00468841529954,0.9795041031167108,0.9922591088269967,0.85,0.95,FAIL,0.0329597072948698,0.0222863112660048,0.0059512845073189,1246628
B,lstm_quantile,quantile,id,heave_rate,20,2.0,3,0.9796778293545536,0.0132086987738106,0.9604700279067198,0.99089675664972,0.85,0.95,FAIL,0.0337128704122268,0.0227932637302751,0.014310252726201,1246628
B,lstm_quantile,quantile,id,heave_rate,30,3.0,3,0.9624134246979074,0.0200603985839286,0.933294017554524,0.978994091696139,0.85,0.95,FAIL,0.0452845009821184,0.0306138663647993,0.0027745542292956,1246628
B,lstm_quantile,quantile,id,heave_rate,50,5.0,3,0.9346387169663032,0.0145115765594362,0.9130560621131742,0.9482994630489242,0.85,0.95,PASS,0.083031697676118,0.0561393726557102,0.0197764699381078,1246628
B,lstm_quantile,quantile,id,heave_rate,100,10.0,3,0.920343046959426,0.0078406065738291,0.9109882133252284,0.9327072741674034,0.85,0.95,PASS,0.3434207746497524,0.2323002758109909,0.0025235779546124,1246628
B,lstm_quantile,quantile,id,heave_rate,150,15.0,3,0.906887034581,0.0001317149098137,0.9038136305445034,0.9105028965885646,0.85,0.95,PASS,0.6631336923279854,0.448810112133013,0.008404251399941,1246628
B,lstm_quantile,quantile,id,pitch,10,1.0,3,0.9884090406719718,0.0028062966752941,0.9853162761567934,0.9926320043103448,0.85,0.95,FAIL,0.08545277894197,0.0209260084494318,0.1254896723646723,1246628
