model,head,regime,dof,horizon_samples,horizon_s,n_seeds,deterministic,n_windows,n_quantiles,alpha,picp_mean,picp_std,picp_ci_lo,picp_ci_hi,mean_interval_width_mean,mean_interval_width_std,width_ratio_mean,width_ratio_std,signal_std,winkler_mean,winkler_std,crps_mean,crps_std,pinball_mean,pinball_std,crossing_rate_mean,crossing_rate_std,n_params,val_loss_name,fit_time_s_mean
dlinear_gaussian,gaussian,id,heave,10,1.0,3,False,434304,9,0.1,0.9623911668631496,0.002453285907886853,0.9512293232390215,0.973871239960949,0.07261549815552364,0.00043319599996027343,0.02907494992377679,0.00017344991532041443,0.7591945699315659,0.08757397629093482,0.0012012886220663386,0.008416384271898655,0.00011401720091757141,0.004208192135949327,5.700860045878248e-05,0.0,0.0,120600,gaussian_nll,1055.7465900426614
dlinear_gaussian,gaussian,id,heave,20,2.0,3,False,434304,9,0.1,0.9443569481284998,0.0007447516138047209,0.9323781268420277,0.9563824533045977,0.39618233269528363,0.002167732701415423,0.15862126987312467,0.0008679047132282825,0.7592353662201028,0.5380846027137344,0.003505723214349251,0.05149848600635453,0.00017855446497091408,0.02574924300317727,8.927723248545945e-05,0.0,0.0,120600,gaussian_nll,1055.7465900426614
dlinear_gaussian,gaussian,id,heave,30,3.0,3,False,434304,9,0.1,0.9224314458689459,0.0006789640676501563,0.9080353277888299,0.9374979277188329,0.8291633206551996,9.243682409536377e-05,0.33197463986179904,3.700921232836544e-05,0.7592379733777742,1.2924868816574187,0.0010438664475983096,0.12304111480748721,0.00036918251962884393,0.061520557403743605,0.00018459125981442102,0.0,0.0,120600,gaussian_nll,1055.7465900426614
dlinear_gaussian,gaussian,id,heave,50,5.0,3,False,434304,9,0.1,0.9195601851851851,0.0004673653763444955,0.9051070793729737,0.9343135798887415,0.9750872234329715,0.0006668277471205513,0.39036173155117043,0.0002669546146814086,0.7593097520603712,1.540123563957967,0.0005861619134237193,0.14771507413657173,0.00022701031636447274,0.07385753706828586,0.00011350515818223637,0.0,0.0,120600,gaussian_nll,1055.7465900426614
dlinear_gaussian,gaussian,id,heave,100,10.0,3,False,434304,9,0.1,0.9071633387366146,0.00028197668000799135,0.8938351937813145,0.9209776446912762,1.877813868026161,0.0007960027593726809,0.7519305244245476,0.0003187423325015784,0.7591324816869609,2.8211167411447207,0.00229520480659123,0.2928380150097059,0.00028593917364150366,0.1464190075048529,0.0001429695868207462,0.0,0.0,120600,gaussian_nll,1055.7465900426614
dlinear_gaussian,gaussian,id,heave,150,15.0,3,False,434304,9,0.1,0.8855901242754691,3.61383036367573e-05,0.8703164143088713,0.9012595440060419,2.2598974757807784,4.465584796003834e-05,0.9054426988142973,1.789165744381738e-05,0.758700750262978,3.7179343293912996,0.0007151544624035894,0.3830604129985075,4.819050944973053e-05,0.19153020649925379,2.4095254724933033e-05,0.0,0.0,120600,gaussian_nll,1055.7465900426614
dlinear_gaussian,gaussian,id,heave_rate,10,1.0,3,False,434304,9,0.1,0.9701115654779447,0.002722899156672533,0.9604749783561745,0.9780589172561155,0.04308173990641532,0.0002570647257334109,0.029130509468598274,0.00017381903431213747,0.4495602477358838,0.04742410404504249,0.00012442206966829184,0.004855009710587335,8.276437995484387e-05,0.0024275048552936675,4.138218997742307e-05,0.0,0.0,120600,gaussian_nll,1055.7465900426614
dlinear_gaussian,gaussian,id,heave_rate,20,2.0,3,False,434304,9,0.1,0.9550568265546714,0.0008411628889301999,0.9458804201665193,0.9643895174808429,0.23505046007400565,0.0012860685546509235,0.1589175605897463,0.0008695106463180546,0.44960586015695647,0.2774625385301498,0.0009564441988239497,0.02902378927044819,1.993947313775147e-05,0.014511894635224098,9.969736568873237e-06,0.0,0.0,120600,gaussian_nll,1055.7465900426614
dlinear_gaussian,gaussian,id,heave_rate,30,3.0,3,False,434304,9,0.1,0.9344138360840947,0.0008149357187333059,0.9234959843796051,0.946212848603743,0.49193247874415263,5.540544626097515e-05,0.3325631250905185,3.7455970385645976e-05,0.4496495382799816,0.6395532596319872,0.0014013007535631184,0.06790087418839108,0.00025946915069139027,0.03395043709419555,0.0001297345753456953,0.0,0.0,120600,gaussian_nll,1055.7465900426614
dlinear_gaussian,gaussian,id,heave_rate,50,5.0,3,False,434304,9,0.1,0.9273665450928382,0.0006076074343523554,0.9158989440576186,0.9389702259246979,0.5785077400502342,0.00039543332409997304,0.39114052237708324,0.00026736028966587735,0.44959255402628673,0.7709831988080543,0.0012822862886614221,0.0824436501461392,0.00020895449706899907,0.0412218250730696,0.00010447724853448158,0.0,0.0,120600,gaussian_nll,1055.7465900426614
dlinear_gaussian,gaussian,id,heave_rate,100,10.0,3,False,434304,9,0.1,0.9007208468415365,0.00039278523363090004,0.8884592359269083,0.9133787047782199,1.1140845481255592,0.00047179954089796147,0.753600733881861,0.0003191395849300953,0.4493860488108614,1.6046711059419192,0.0019817199083742147,0.17745225603169015,0.00019756358922992228,0.08872612801584506,9.878179461493475e-05,0.0,0.0,120600,gaussian_nll,1055.7465900426614
dlinear_gaussian,gaussian,id,heave_rate,150,15.0,3,False,434304,9,0.1,0.8826329022988505,2.8011542745639156e-05,0.8691785016946655,0.8962494013409962,1.3407705840585908,2.6791951888188133e-05,0.9074360165044304,1.8132842698702156e-05,0.44913945544323325,2.1021903160593145,0.0001717849571315417,0.22848731386407842,1.5336425270183926e-05,0.11424365693203915,7.668212635068416e-06,0.0,0.0,120600,gaussian_nll,1055.7465900426614
dlinear_gaussian,gaussian,id,pitch,10,1.0,3,False,434304,9,0.1,0.9228942553296001,0.0053144999935205205,0.9046495657419688,0.9411486539382553,0.11957050138472636,0.0007129918160595106,0.02928088885182716,0.0001746002055400589,1.2413165389175655,0.17262462288186256,0.0026520115422998783,0.017271902221552303,0.0003562199650124208,0.008635951110776151,0.00017810998250620923,0.0,0.0,120600,gaussian_nll,1055.7465900426614
