control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,asserted,enforced,passed
untrained,id,untrained,persistence,heave,20,2.0,-0.10257394584673252,0.0,-0.10257394584673252,0.0,True,False,True
untrained,id,untrained,persistence,heave,30,3.0,0.4648392816668392,0.0,0.4648392816668392,0.0,True,False,False
untrained,id,untrained,persistence,heave,50,5.0,0.5229690472264169,0.0,0.5229690472264169,0.0,True,False,False
untrained,id,untrained,persistence,heave,100,10.0,0.13588891952654103,0.0,0.13588891952654103,0.0,True,False,False
untrained,id,untrained,persistence,heave,150,15.0,0.4461388056112062,0.0,0.4461388056112062,0.0,True,False,False
untrained,id,untrained,persistence,roll_rate,10,1.0,-2.8515925852418103,0.0,-2.8515925852418103,0.0,True,False,True
untrained,id,untrained,persistence,roll_rate,20,2.0,-0.24228895093111302,0.0,-0.24228895093111302,0.0,True,False,True
untrained,id,untrained,persistence,roll_rate,30,3.0,0.40800600793963493,0.0,0.40800600793963493,0.0,True,False,False
untrained,id,untrained,persistence,roll_rate,50,5.0,0.7430062810635729,0.0,0.7430062810635729,0.0,True,False,False
untrained,id,untrained,persistence,roll_rate,100,10.0,-0.032154214169245465,0.0,-0.032154214169245465,0.0,True,False,True
untrained,id,untrained,persistence,roll_rate,150,15.0,0.34475706596465616,0.0,0.34475706596465616,0.0,True,False,False
untrained,id,untrained,persistence,pitch_rate,10,1.0,-1.0526828355037368,0.0,-1.0526828355037368,0.0,True,False,True
untrained,id,untrained,persistence,pitch_rate,20,2.0,0.4436689336155182,0.0,0.4436689336155182,0.0,True,False,False
untrained,id,untrained,persistence,pitch_rate,30,3.0,0.34629564049050854,0.0,0.34629564049050854,0.0,True,False,False
untrained,id,untrained,persistence,pitch_rate,50,5.0,0.6069667996565222,0.0,0.6069667996565222,0.0,True,False,False
untrained,id,untrained,persistence,pitch_rate,100,10.0,0.3832466643682324,0.0,0.3832466643682324,0.0,True,False,False
untrained,id,untrained,persistence,pitch_rate,150,15.0,0.45588167046745787,0.0,0.45588167046745787,0.0,True,False,False
untrained,id,untrained,persistence,heave_rate,10,1.0,-1.3224211860103643,0.0,-1.3224211860103643,0.0,True,False,True
untrained,id,untrained,persistence,heave_rate,20,2.0,0.19974090830813385,0.0,0.19974090830813385,0.0,True,False,False
untrained,id,untrained,persistence,heave_rate,30,3.0,0.2973876704892481,0.0,0.2973876704892481,0.0,True,False,False
untrained,id,untrained,persistence,heave_rate,50,5.0,0.622289387726306,0.0,0.622289387726306,0.0,True,False,False
untrained,id,untrained,persistence,heave_rate,100,10.0,-0.31160487597475894,0.0,-0.31160487597475894,0.0,True,False,True
untrained,id,untrained,persistence,heave_rate,150,15.0,0.06480214681098295,0.0,0.06480214681098295,0.0,True,False,False
shuffle,unseen_seastate,shuffled,window_mean,roll,10,1.0,-4.215961669720961,-4.225822289139282,0.0018869029356037847,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll,20,2.0,-0.379677031944742,-0.3810818158360536,0.001017161963327462,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll,30,3.0,0.3615608646564229,0.3617357858400613,-0.00027405763907450975,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll,50,5.0,0.7492983557813198,0.749251046470711,0.00018867201614580775,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll,100,10.0,0.12268481981629398,0.12419236294422042,-0.00172131763202521,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll,150,15.0,0.3513702477521282,0.35201606143812814,-0.0009966507617971132,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch,10,1.0,-1.6218561990229312,-1.6351651021808769,0.005050500686629156,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch,20,2.0,0.18732751087312072,0.18334996886497323,0.0048705588152849755,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch,30,3.0,0.5404389026983545,0.5393531701028894,0.002356973987441946,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch,50,5.0,0.7004628721618621,0.7005419881635584,-0.0002641973117070151,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch,100,10.0,0.29611778578748316,0.29728514063357214,-0.0016612070038499738,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch,150,15.0,0.48756554516331474,0.48737718043664136,0.000367452870775109,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave,10,1.0,-3.4103844459795756,-3.4348030778473424,0.005506136673743778,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave,20,2.0,-0.2434500613577728,-0.25002602437560406,0.005260660889933044,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave,30,3.0,0.3727133795843779,0.37059264693342,0.003369411940653877,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave,50,5.0,0.6978839562280961,0.6969801159084668,0.002982775610053001,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave,100,10.0,0.3024761094053079,0.3016550933878166,0.0011756597774503774,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave,150,15.0,0.40159923530424746,0.4017107603492638,-0.00018640656997503946,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll_rate,10,1.0,-3.942412035393474,-3.9348308443936064,-0.0015362615738856444,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll_rate,20,2.0,-0.3074453310063625,-0.3077785528818249,0.00025479992367827276,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll_rate,30,3.0,0.39275982201266035,0.39142658196366487,0.0021907628717952043,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll_rate,50,5.0,0.7546703748913248,0.7540091489446612,0.002688010321631351,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll_rate,100,10.0,0.041383925812565225,0.03927455762882226,0.0021955993780458094,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,roll_rate,150,15.0,0.40725474917379256,0.40554630206390296,0.0028739784373807975,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch_rate,10,1.0,-0.935247726337199,-0.9402451945544235,0.002575689006343418,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch_rate,20,2.0,0.36088784267290197,0.35977970303072804,0.0017308724003592957,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch_rate,30,3.0,0.6124861464674368,0.6113723414820045,0.0028659951524803162,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch_rate,50,5.0,0.6809830470588043,0.6808270212526522,0.0004888440329895438,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch_rate,100,10.0,0.3741714075209507,0.37662442964205767,-0.003935062966452962,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,pitch_rate,150,15.0,0.5043770154665042,0.5045046607239652,-0.0002576114190044887,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave_rate,10,1.0,-2.497531575798064,-2.5091461171622282,0.003309791321416067,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave_rate,20,2.0,-0.008794730165310849,-0.01333984382926423,0.004485280719623175,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave_rate,30,3.0,0.4748740207602079,0.4710942238718896,0.007146446605269752,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave_rate,50,5.0,0.7176118514694272,0.7164999085490729,0.003922195984711996,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave_rate,100,10.0,0.12540833363362547,0.1274211795872462,-0.0023067783752401816,0.02,True,True,True
shuffle,unseen_seastate,shuffled,window_mean,heave_rate,150,15.0,0.49873614629175544,0.4987635368181659,-5.464591749082537e-05,0.02,True,True,True
untrained,unseen_seastate,untrained,persistence,roll,10,1.0,-5.30995911631726,0.0,-5.30995911631726,0.0,True,False,True
untrained,unseen_seastate,untrained,persistence,roll,20,2.0,-0.4092860540742458,0.0,-0.4092860540742458,0.0,True,False,True
untrained,unseen_seastate,untrained,persistence,roll,30,3.0,0.37244926501466,0.0,0.37244926501466,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,roll,50,5.0,0.7665164937627553,0.0,0.7665164937627553,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,roll,100,10.0,0.06689380698836733,0.0,0.06689380698836733,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,roll,150,15.0,0.385174302555069,0.0,0.385174302555069,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,pitch,10,1.0,-1.6494562078511974,0.0,-1.6494562078511974,0.0,True,False,True
untrained,unseen_seastate,untrained,persistence,pitch,20,2.0,-0.3070491276642744,0.0,-0.3070491276642744,0.0,True,False,True
untrained,unseen_seastate,untrained,persistence,pitch,30,3.0,0.26469168485337224,0.0,0.26469168485337224,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,pitch,50,5.0,0.6819602591496741,0.0,0.6819602591496741,0.0,True,False,False
