model,head,n_realizations,dof,horizon_samples,horizon_s,n_windows,n_quantiles,alpha,picp,mean_interval_width,winkler,crps,pinball,crossing_rate,picp_ci_lo,picp_ci_hi,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,val_loss_name,regime,signal_std
residual_interval,quantile,384,roll,10,1.0,434304,9,0.1,0.9030149388446802,0.03583730169022145,0.060810937324214324,0.00519128937813307,0.002595644689066534,0.0,0.886736940023578,0.9212616047745359,0,True,68400,3.3968471989792306,,,,,id,3.682816873957597
residual_interval,quantile,384,roll,20,2.0,434304,9,0.1,0.9020041261420572,0.34922810576397656,0.5973630585214655,0.050891248601900356,0.0254456243009502,0.0,0.8856971729479811,0.9202682337717359,0,True,68400,3.3968471989792306,,,,,id,3.683691963859013
residual_interval,quantile,384,roll,30,3.0,434304,9,0.1,0.9016495358090185,1.2314937103533021,2.1156080071660037,0.17956480326798138,0.08978240163399068,0.0,0.8852156553934571,0.9201240951038904,0,True,68400,3.3968471989792306,,,,,id,3.6845301229084004
residual_interval,quantile,384,roll,50,5.0,434304,9,0.1,0.9021238579428235,2.5935582944486644,4.430211741928835,0.37341218358206907,0.18670609179103456,0.0,0.8858680785809019,0.9204874926318892,0,True,68400,3.3968471989792306,,,,,id,3.685983647312865
residual_interval,quantile,384,roll,100,10.0,434304,9,0.1,0.899694683908046,5.462815106667805,9.11292767206473,0.7945334688518904,0.3972667344259452,0.0,0.8836076227711466,0.9173942676097849,0,True,68400,3.3968471989792306,,,,,id,3.6900743810329235
residual_interval,quantile,384,roll,150,15.0,434304,9,0.1,0.8986792661361627,7.889615798264613,13.076038542319356,1.14330086039193,0.5716504301959648,0.0,0.8823729461391099,0.91628738164972,0,True,68400,3.3968471989792306,,,,,id,3.6937274583324062
residual_interval,quantile,384,pitch,10,1.0,434304,9,0.1,0.9033188734158561,0.02922161466552117,0.04734051164865792,0.00446210894097554,0.0022310544704877686,0.0,0.887481119216033,0.9174658188734158,0,True,68400,3.3968471989792306,,,,,id,1.2413165389175655
residual_interval,quantile,384,pitch,20,2.0,434304,9,0.1,0.9028906019746537,0.2723536859075807,0.430414397316524,0.04130679067329038,0.0206533953366452,0.0,0.8879009864058356,0.9165506764846743,0,True,68400,3.3968471989792306,,,,,id,1.2413790185919036
residual_interval,quantile,384,pitch,30,3.0,434304,9,0.1,0.9021261604774535,0.8902315748771623,1.3774132899709641,0.13481224100776912,0.06740612050388456,0.0,0.8879716166556144,0.9155690484084881,0,True,68400,3.3968471989792306,,,,,id,1.2413993725281671
residual_interval,quantile,384,pitch,50,5.0,434304,9,0.1,0.9017117042440318,1.5728060823053713,2.369437345007204,0.23675680836481533,0.11837840418240768,0.0,0.8879784091327734,0.9148223364279399,0,True,68400,3.3968471989792306,,,,,id,1.2415168463730468
