source_experiment,model,seed,vessel,ss,heading_deg,speed_kn,dof,horizon_samples,horizon_s,n_realizations,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,sse,sae,sse_persistence,sy,syy,regime,matched_n_samples,matched_lookback,matched_stride,matched_max_horizon,matched_lookbacks,matched_n_origins,matched_origin_first,matched_origin_last,matched_origin_stride,matched_windows_before
e04e_lookback_40s,ar20,0,frigate,SS3,45.0,0.0,heave,10,1.0,8,8728,0.0007318036208711306,0.0005862246463916338,0.09655247051390696,0.9999425536649802,0.12772283077649094,0.005729622624413588,0.004674162916931411,5.1165687137061795,81.3657288200937,-1.7228129753934525,142.38126453029932,id,6000,400,5,150,100|200|400,1091,399,5849,5,1091
e04e_lookback_40s,ar20,0,frigate,SS3,45.0,0.0,heave,20,2.0,8,8728,0.0062909445947528795,0.0050373760784454946,0.17803367499390566,0.9987513882796004,0.1276539440844107,0.04928123952514163,0.3454191874290181,43.966218412672276,276.6425957610614,-1.0518770631028644,142.22750772462234,id,6000,400,5,150,100|200|400,1091,399,5849,5,1091
e04e_lookback_40s,ar20,0,frigate,SS3,45.0,0.0,heave,30,3.0,8,8728,0.0211045001138212,0.016894368151068012,0.23211938560342857,0.9917333925540113,0.12757697756186392,0.16542561610371528,3.8874505458737483,147.45404522252161,470.25948326118606,0.19093446935542602,142.05593023584254,id,6000,400,5,150,100|200|400,1091,399,5849,5,1091
e04e_lookback_40s,ar20,0,frigate,SS3,45.0,0.0,heave,50,5.0,8,8728,0.05057046778616354,0.0404802448656502,0.23418662332539444,0.9533695321750486,0.12745176636513003,0.39678122342601985,22.320744667308333,353.31157718739496,478.67297302483394,2.2560038270453617,141.77780272782076,id,6000,400,5,150,100|200|400,1091,399,5849,5,1091
e04e_lookback_40s,ar20,0,frigate,SS3,45.0,0.0,heave,100,10.0,8,8728,0.0860075814277436,0.06832291746729721,0.1721371800837256,0.7503542929627605,0.12693211807405508,0.6775872232555422,64.56366986229995,596.3224236545701,258.6211901199207,-2.8466918506460104,140.62439242840017,id,6000,400,5,150,100|200|400,1091,399,5849,5,1091
e04e_lookback_40s,ar20,0,frigate,SS3,45.0,0.0,heave,150,15.0,8,8728,0.12880052721266672,0.10205899620152473,0.1551284416343138,0.31062993323781884,0.12608622193221533,1.0215273741956565,144.79381767195716,890.7709188469078,210.03786594915806,2.228347406518452,138.75600315184585,id,6000,400,5,150,100|200|400,1091,399,5849,5,1091
e04e_lookback_40s,ar20,0,frigate,SS3,45.0,0.0,heave_rate,10,1.0,8,8728,0.0021698081344418,0.001738236712647424,0.07678716472879256,0.9992015175009629,0.0991170742278345,0.021891365855434674,0.04109201174604943,15.171330027986716,51.46263292633293,0.28444587987723935,85.74557802372924,id,6000,400,5,150,100|200|400,1091,399,5849,5,1091
e04e_lookback_40s,ar20,0,frigate,SS3,45.0,0.0,heave_rate,20,2.0,8,8728,0.009919762316632944,0.007941814597350343,0.1410631976742704,0.9950548999366263,0.09910651056160844,0.1000919340255294,0.8588499016045895,69.3161578056738,173.67695104205202,1.0200371266237198,85.72741181401815,id,6000,400,5,150,100|200|400,1091,399,5849,5,1091
e04e_lookback_40s,ar20,0,frigate,SS3,45.0,0.0,heave_rate,30,3.0,8,8728,0.01911832374258706,0.015301275126681491,0.1825690538919619,0.9890340744486384,0.09908343149183234,0.19295177260956112,3.190173922195741,133.54952930567606,290.91697798364515,1.379353915237516,85.68758837606191,id,6000,400,5,150,100|200|400,1091,399,5849,5,1091
e04e_lookback_40s,ar20,0,frigate,SS3,45.0,0.0,heave_rate,50,5.0,8,8728,0.014380190187922083,0.011567651108900415,0.17857766497651234,0.9935155226157717,0.09898555604037812,0.14527564185279845,1.8048619839705946,100.96245887848282,278.3357666356293,0.28471216420985,85.51817786621564,id,6000,400,5,150,100|200|400,1091,399,5849,5,1091
e04e_lookback_40s,ar20,0,frigate,SS3,45.0,0.0,heave_rate,100,10.0,8,8728,0.06329910639640123,0.050695810338037786,0.14305863556607606,0.8042205965313947,0.09860101957973649,0.6419721283430808,34.97114852644775,442.4730326303938,178.62526857711885,0.6012165423362603,84.8550631645567,id,6000,400,5,150,100|200|400,1091,399,5849,5,1091
e04e_lookback_40s,ar20,0,frigate,SS3,45.0,0.0,heave_rate,150,15.0,8,8728,0.0961748000936532,0.07653216618137802,0.11106917912940041,0.25021722296937765,0.09769835413705442,0.9844055300945609,80.73044048641668,667.9727464310674,107.67177235803527,-1.8896076352921227,83.30889330381548,id,6000,400,5,150,100|200|400,1091,399,5849,5,1091
e04e_lookback_40s,ar20,0,frigate,SS3,45.0,0.0,pitch,10,1.0,8,8728,0.002835036447928102,0.0022734325046353176,0.4046602657183312,0.9999509164270842,0.4926842797400909,0.005754266098004362,0.07015070353791314,19.84251890045705,1429.2093947239389,-2.9391571570122323,2118.6165038245254,id,6000,400,5,150,100|200|400,1091,399,5849,5,1091
e04e_lookback_40s,ar20,0,frigate,SS3,45.0,0.0,pitch,20,2.0,8,8728,0.03047069044402937,0.024462903218946036,0.7347820599663037,0.9982803205491396,0.492372658497463,0.06188542340473273,8.10362485571381,213.512219294961,4712.288009058579,-1.6944281745636545,2115.9366553986674,id,6000,400,5,150,100|200|400,1091,399,5849,5,1091
e04e_lookback_40s,ar20,0,frigate,SS3,45.0,0.0,pitch,30,3.0,8,8728,0.1066472378010314,0.08558297693911782,0.9314565877409874,0.9868908665096657,0.49254075643084666,0.21652469650195294,99.26907170938726,746.9682227246203,7572.512079656618,0.5966910805618681,2117.381391587346,id,6000,400,5,150,100|200|400,1091,399,5849,5,1091
