model,dof,horizon_samples,horizon_s,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,n_realizations,skill_ci_lo,skill_ci_hi,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,val_loss_name,regime
persistence,roll,10,1.0,552480,2.697710191969905,1.6323897531359517,2.697710191969905,0.0,5.05425903996847,0.5337498871024889,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,roll,20,2.0,552480,5.189568492163116,3.1263695411337387,5.189568492163116,0.0,5.055688365749708,1.0264810875845103,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,roll,30,3.0,552480,7.289059930729226,4.358611485688158,7.289059930729226,0.0,5.0565668684401155,1.441503715934801,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,roll,50,5.0,552480,9.757271093274133,5.692387845577755,9.757271093274133,0.0,5.057215156302105,1.9293763052803876,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,roll,100,10.0,552480,5.023334712839558,2.8016718057691494,5.023334712839558,0.0,5.061616210643226,0.9924369023231804,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,roll,150,15.0,552480,7.374318396631666,4.440183604302445,7.374318396631666,0.0,5.064872326202244,1.455973205579517,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,pitch,10,1.0,552480,0.06424241422934725,0.047943053852837605,0.06424241422934725,0.0,0.09337276100561198,0.6880209339154711,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,pitch,20,2.0,552480,0.11941422557351597,0.08888456340469447,0.11941422557351597,0.0,0.09336465949303552,1.2790088479080632,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,pitch,30,3.0,552480,0.1582504874209556,0.11720638049682053,0.1582504874209556,0.0,0.09336569378301514,1.6949532639765394,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,pitch,50,5.0,552480,0.17479294793094002,0.12643008727133662,0.17479294793094002,0.0,0.09333100353945978,1.8728283346598606,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,pitch,100,10.0,552480,0.10637744683799365,0.07994832500270184,0.10637744683799365,0.0,0.09331310918091842,1.1400053837210125,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,pitch,150,15.0,552480,0.13935115847675855,0.09908207999114758,0.13935115847675855,0.0,0.09329847138712573,1.493606019530001,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,heave,10,1.0,552480,0.4423055301623713,0.300771140320733,0.4423055301623713,0.0,0.7797650698205915,0.5672292172104312,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,heave,20,2.0,552480,0.843646437412721,0.5710303696701962,0.843646437412721,0.0,0.7798758866531833,1.0817701275945424,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
